trade_date,scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,daily_ret,nav,benchmark_ret,benchmark_nav,excess_nav
2018-01-25,方案A_传统规则,A,2018,2016,2,6,6,-0.011556085956125858,1092400.5909082843,-0.005651000000000001,1082915.6498753056,9484.941032978706
2018-01-26,方案A_传统规则,A,2018,2016,2,6,6,0.00448333133330527,1097298.1847060246,0.0037159999999999997,1086939.7644302424,10358.420275782235
2018-01-29,方案A_传统规则,A,2018,2016,2,6,6,-0.02072191229840653,1074560.0679573456,-0.018095,1067271.589392877,7288.478564468678
2018-01-30,方案A_传统规则,A,2018,2016,2,6,6,-0.00749547464939021,1066505.7302087243,-0.010672999999999998,1055880.599719287,10625.130489437375
2018-01-31,方案A_传统规则,A,2018,2016,2,6,6,0.004486954275753389,1071291.0926549998,0.004651,1060791.5003885813,10499.592266418505
2018-02-01,方案A_传统规则,A,2018,2016,2,6,6,0.010739896699885879,1082796.6483256225,-0.007016,1053348.987221855,29447.661103767576
2018-02-02,方案A_传统规则,A,2018,2016,2,6,6,-0.0019210894031813641,1080716.499158724,0.005967,1059634.3206286079,21082.1785301161
2018-02-05,方案A_传统规则,A,2018,2016,2,6,6,-0.009871606015733761,1070048.091664326,0.000682,1060356.9912352767,9691.100429049227
2018-02-06,方案A_传统规则,A,2018,2016,2,6,6,-0.012926118674638646,1056216.5230439021,-0.029307,1029281.1088931444,26935.414150757715
2018-02-07,方案A_传统规则,A,2018,2016,2,6,6,-0.030460765169267084,1024043.359567562,-0.023714,1004872.7366768525,19170.62289070955
2018-02-08,方案A_传统规则,A,2018,2016,2,6,6,-0.021020980669309092,1002516.963901558,-0.009493,995333.479787579,7183.4841139789205
2018-02-09,方案A_传统规则,A,2018,2016,2,6,6,-0.05624263004281366,946132.7731891979,-0.04272,952812.8335310536,-6680.060341855744
2018-02-12,方案A_传统规则,A,2018,2016,2,6,6,0.011468575600978656,956983.5684270818,0.012876,965081.2515755995,-8097.683148517739
2018-02-13,方案A_传统规则,A,2018,2016,2,6,6,0.009085905085444379,965678.6302981401,0.011702999999999998,976375.5974627888,-10696.967164648697
2018-02-14,方案A_传统规则,A,2018,2016,2,6,6,0.009307898775864798,974667.069238971,0.00796,984147.5472185925,-9480.4779796215
2018-02-22,方案A_传统规则,A,2018,2016,2,6,6,0.022619278963403617,996713.3355745303,0.021622,1005426.7854845528,-8713.449910022551
2018-02-23,方案A_传统规则,A,2018,2016,2,6,6,0.007080982669377474,1003771.0454300708,0.004529,1009980.3633960125,-6209.31796594162
2018-02-26,方案A_传统规则,A,2018,2016,2,6,6,0.001338430160411778,1005114.5228714226,0.011626000000000001,1021722.3951008545,-16607.872229431872
2018-02-27,方案A_传统规则,A,2018,2016,2,6,6,-0.01688007115732994,988148.1182040873,-0.014432,1006976.8974947591,-18828.77929067181
2018-02-28,方案A_传统规则,A,2018,2016,2,6,6,-0.009104083673903049,979151.9350537474,-0.008706,998210.1566251697,-19058.2215714223
2018-03-01,方案A_传统规则,A,2018,2016,2,6,6,0.007320005427089975,986319.3325322864,0.006324,1004522.8376556672,-18203.505123380804
2018-03-02,方案A_传统规则,A,2018,2016,2,6,6,-0.0008523794009720476,985478.6142504554,-0.008057,996429.3971526755,-10950.782902220148
2018-03-05,方案A_传统规则,A,2018,2016,2,6,6,-0.000717946421189534,984771.0934061955,0.000407,996834.9439173167,-12063.850511121214
