scheme,group,hold_year,score_year,score_lag_years,holding_count,tradable_holding_count,annual_return,turnover_cost,holdings,tradable_holdings
方案A_传统规则,C,2020,2018,2,20,19,0.15868788924911748,0.0005263157894736842,"600000.SH,600010.SH,600016.SH,600029.SH,600030.SH,600036.SH,600050.SH,600089.SH,600104.SH,600111.SH,600196.SH,600340.SH,600547.SH,600893.SH,601166.SH,601186.SH,601628.SH,601766.SH,601857.SH,601919.SH","600000.SH,600010.SH,600016.SH,600030.SH,600036.SH,600050.SH,600089.SH,600104.SH,600111.SH,600196.SH,600340.SH,600547.SH,600893.SH,601166.SH,601186.SH,601628.SH,601766.SH,601857.SH,601919.SH"
方案A_传统规则,C,2021,2019,2,17,16,0.38474218583873787,0.0006875,"600000.SH,600010.SH,600016.SH,600036.SH,600089.SH,600111.SH,600150.SH,600196.SH,600547.SH,600703.SH,600893.SH,601111.SH,601166.SH,601328.SH,601766.SH,601919.SH,601988.SH","600000.SH,600010.SH,600016.SH,600036.SH,600089.SH,600111.SH,600150.SH,600196.SH,600547.SH,600703.SH,600893.SH,601166.SH,601328.SH,601766.SH,601919.SH,601988.SH"
方案A_传统规则,C,2022,2020,2,17,14,-0.09133309594664585,0.001,"600009.SH,600010.SH,600016.SH,600028.SH,600089.SH,600104.SH,600150.SH,600276.SH,600309.SH,600547.SH,600703.SH,600893.SH,601166.SH,601601.SH,601766.SH,601899.SH,601919.SH","600010.SH,600028.SH,600089.SH,600104.SH,600150.SH,600276.SH,600309.SH,600547.SH,600893.SH,601166.SH,601601.SH,601766.SH,601899.SH,601919.SH"
方案A_传统规则,C,2023,2021,2,17,13,-0.0020190740921568473,0.001,"600000.SH,600010.SH,600050.SH,600104.SH,600150.SH,600276.SH,600436.SH,600438.SH,600547.SH,600570.SH,600588.SH,600745.SH,600893.SH,601166.SH,601318.SH,601328.SH,601766.SH","600010.SH,600050.SH,600104.SH,600150.SH,600276.SH,600436.SH,600438.SH,600745.SH,600893.SH,601166.SH,601318.SH,601328.SH,601766.SH"
方案A_传统规则,C,2024,2022,2,16,12,0.22537269107972824,0.0009166666666666666,"600010.SH,600028.SH,600031.SH,600048.SH,600050.SH,600104.SH,600150.SH,600276.SH,600346.SH,600585.SH,600745.SH,600893.SH,601166.SH,601318.SH,601628.SH,601988.SH","600028.SH,600031.SH,600048.SH,600050.SH,600104.SH,600150.SH,600276.SH,600893.SH,601166.SH,601318.SH,601628.SH,601988.SH"
方案B_LGBM打分,A,2018,2016,2,15,14,-0.1657059196272036,0.001,"600000.SH,600016.SH,600030.SH,600036.SH,600104.SH,600109.SH,600150.SH,600196.SH,600585.SH,600690.SH,600887.SH,601006.SH,601169.SH,601328.SH,601988.SH","600000.SH,600016.SH,600030.SH,600036.SH,600104.SH,600150.SH,600196.SH,600585.SH,600690.SH,600887.SH,601006.SH,601169.SH,601328.SH,601988.SH"
方案B_LGBM打分,A,2019,2017,2,15,15,0.27376580575375353,0.001,"600000.SH,600016.SH,600019.SH,600030.SH,600048.SH,600050.SH,600196.SH,600340.SH,600406.SH,600585.SH,600690.SH,600887.SH,601088.SH,601166.SH,601766.SH","600000.SH,600016.SH,600019.SH,600030.SH,600048.SH,600050.SH,600196.SH,600340.SH,600406.SH,600585.SH,600690.SH,600887.SH,601088.SH,601166.SH,601766.SH"
方案B_LGBM打分,A,2020,2018,2,15,15,0.3505381398156766,0.0009333333333333333,"600028.SH,600030.SH,600048.SH,600089.SH,600196.SH,600276.SH,600340.SH,600406.SH,600519.SH,600690.SH,600887.SH,601766.SH,601857.SH,601899.SH,601919.SH","600028.SH,600030.SH,600048.SH,600089.SH,600196.SH,600276.SH,600340.SH,600406.SH,600519.SH,600690.SH,600887.SH,601766.SH,601857.SH,601899.SH,601919.SH"
方案B_LGBM打分,A,2021,2019,2,14,13,-0.03551852718651638,0.0010769230769230769,"600009.SH,600016.SH,600030.SH,600031.SH,600196.SH,600276.SH,600309.SH,600340.SH,600406.SH,600519.SH,600690.SH,600887.SH,601166.SH,601390.SH","600009.SH,600016.SH,600030.SH,600031.SH,600196.SH,600276.SH,600309.SH,600406.SH,600519.SH,600690.SH,600887.SH,601166.SH,601390.SH"
方案B_LGBM打分,A,2022,2020,2,14,11,-0.13041021605369618,0.0014545454545454547,"600009.SH,600016.SH,600048.SH,600150.SH,600196.SH,600276.SH,600570.SH,600588.SH,600887.SH,601166.SH,601186.SH,601766.SH,601899.SH,601988.SH","600048.SH,600150.SH,600196.SH,600276.SH,600570.SH,600588.SH,600887.SH,601166.SH,601766.SH,601899.SH,601988.SH"
