scheme,样本,year,group,stock_count,fcff_growth_3y_ann_mean,fcff_growth_1y_mean,raw_fcff_growth_3y_ann_mean,raw_fcff_growth_1y_mean,avg_score,traditional_score_mean
方案A_传统规则,测试集,2018,A,20,-0.049937954742233975,0.25119573333616874,-0.049937954742233975,0.25119573333616874,0.24251954964232253,8.252224186508123
方案A_传统规则,测试集,2018,B,9,0.043402406553108945,4.041804107778296,-0.044852106092065566,4.041804107778296,0.1122881158585581,6.997731063646884
方案A_传统规则,测试集,2018,C,9,0.6541250517261972,0.6987622646024272,0.6541250517261972,0.6987622646024272,3.8536813365382554,5.774185704255839
方案A_传统规则,测试集,2019,A,17,0.053653432106090665,0.3390057202081284,0.053653432106090665,0.3390057202081284,0.6170546227371884,8.355155808020625
方案A_传统规则,测试集,2019,B,8,-0.07367806954668031,0.2689937732340353,-0.07367806954668031,0.2689937732340353,1.444496322300389,6.999467260087042
方案A_传统规则,测试集,2019,C,10,1.9680428385228494,1.5049582761438316,3.6445296050423663,-2.1293398970658615,3.9376152068148884,5.696772491706919
方案A_传统规则,测试集,2020,A,19,-0.10441923154103366,0.2820516980895458,-0.10441923154103366,0.2820516980895458,1.1047087520027608,8.318197253082978
方案A_传统规则,测试集,2020,B,10,0.6298355203426451,0.7264704664252101,0.7165244915442881,0.7264704664252101,2.154152646264817,6.801395761444286
方案A_传统规则,测试集,2020,C,5,0.7549620009694895,6.073071286565028,0.7549620009694895,6.073071286565028,-0.08308206587221481,5.39834187414783
方案A_传统规则,测试集,2021,A,24,0.12157069232755714,0.8143582210964465,0.12157069232755714,0.9518859954694509,1.231223550073881,8.294545601855885
方案A_传统规则,测试集,2021,B,8,0.08502086110273657,1.3252076187006288,0.08502086110273657,1.3252076187006288,0.1277628112878323,7.125351153333534
方案A_传统规则,测试集,2021,C,2,-0.13655608804577163,5.41918248442103,-0.13655608804577163,5.41918248442103,10.756698211328372,5.998852381776443
方案A_传统规则,训练集,2014,A,23,-0.09791974511831257,0.15659358555058292,-0.09791974511831257,0.15659358555058292,0.16814368480920552,8.22017062363028
方案A_传统规则,训练集,2014,B,10,-0.48297196888878247,0.8234705686151536,-0.48297196888878247,0.8234705686151536,2.0672101290376323,7.198967774602039
方案A_传统规则,训练集,2014,C,4,0.6827942450933557,-1.7591287268481393,0.9314610578685681,-1.7591287268481393,0.5707296707825785,5.747378595374316
方案A_传统规则,训练集,2015,A,22,-0.6017092924352798,-0.2734159968792418,-0.8568918548014058,-0.2734159968792418,0.08405117217037127,8.275215030079547
方案A_传统规则,训练集,2015,B,10,0.4764848333051511,0.7180475655083878,0.4764848333051511,0.7180475655083878,1.0094427301699884,6.6002201971733685
方案A_传统规则,训练集,2015,C,6,0.6356989958636489,1.1105517982780195,0.6356989958636489,1.1105517982780195,0.29942759701171723,5.162429870001676
方案A_传统规则,训练集,2016,A,20,0.13531769005298064,0.29399466041794003,0.13531769005298064,0.8873210312515478,1.494998249706376,8.301710312771139
方案A_传统规则,训练集,2016,B,8,-0.07877912606336837,0.5187130120628276,-0.07877912606336837,0.5187130120628276,0.25473913059007575,6.750899599844394
方案A_传统规则,训练集,2016,C,11,0.6829767161229344,-0.929461724625122,0.7385573139402957,-1.1737996647584772,3.158998880903246,4.8128702879543175
方案A_传统规则,训练集,2017,A,18,0.030396855562580562,0.23479579834303188,0.030396855562580562,0.23479579834303188,-0.008044749810771905,8.279440307109613
方案A_传统规则,训练集,2017,B,9,1.9444587230972827,1.821696647026605,2.3422046710751663,1.821696647026605,0.07430402002524977,6.556521077126376
方案A_传统规则,训练集,2017,C,10,1.0869447146784053,-1.8353254657609572,1.0869447146784053,-2.7508168453198345,5.963035055056574,5.595257647336533
方案B_LGBM打分,测试集,2018,A,16,0.1511873633952016,0.3490314056033454,0.1511873633952016,0.3490314056033454,3.844932940992723,7.313179058930649
方案B_LGBM打分,测试集,2018,B,12,-0.032175553818151036,2.8819910028393263,-0.09836643830203191,2.8819910028393263,-0.18264515876745288,7.583425690230469
方案B_LGBM打分,测试集,2018,C,10,0.32460968611636626,0.7520617494424439,0.32460968611636626,0.7520617494424439,-1.878306908625636,7.197976141563096
方案B_LGBM打分,测试集,2019,A,14,1.7809930699359047,5.944598878216494,2.9784836174498457,7.031232936339743,5.699630686949253,7.286181038586973
方案B_LGBM打分,测试集,2019,B,12,-0.28203268012500965,0.4889316350113742,-0.28203268012500965,0.4889316350113742,0.01619849343473759,7.416463890136602
方案B_LGBM打分,测试集,2019,C,9,-0.17182207143821723,-7.347437080479848,-0.17182207143821723,-13.07586580779345,-2.063017811713578,7.1107789458065875
