direction_short,direction,mse,mae,rmse,r2,ic,direction_acc,n_train,n_test,best_lag
H3->收益,H3滞后特征 -> 沪深300周收益率,0.0035030526025529884,0.03637607520955175,0.05918659140846842,-0.5398137507258087,0.15256428831468236,0.5555555555555556,36,9,H3_lag1
收益->H3,沪深300滞后收益率 -> H3,0.059075069463964396,0.1395548273069399,0.24305363495320204,0.0850035460798303,0.7333333333333334,0.7777777777777778,36,9,Ret_lag1
