indicator,count,mean,std,min,median,max
P_t,50,0.8237754948955395,0.058089580585001126,0.6944444444444444,0.82185581437342,0.9358974358974359
H1t,50,-0.0015929980825128975,0.06042571056694333,-0.13482248449059642,-0.010120865684324853,0.14898290190599583
H2t_formula_raw,50,0.6475509897910788,0.11617916117000227,0.3888888888888889,0.6437116287468401,0.8717948717948718
H2t,50,0.35244901020892117,0.11617916117000225,0.1282051282051282,0.35628837125316,0.6111111111111112
H2t_strength,50,0.5356365629301988,0.2405833956971728,0.0,0.5276860276704475,1.0
H3t_formula_raw,50,0.28953649275231774,0.21258158199326388,0.0,0.253001936417687,0.882603722554662
H3t,50,0.1681437066237163,0.17834085951953593,0.0,0.12189470494828486,0.8646874107907507
