trade_date,week,week_start,week_end,week_id,P_t,E_P_t,H1t,H1t_abs,H1t_formula_norm,H1t_norm,H2t_formula_raw,H2t_formula_norm,H2t,H2t_norm,H2t_strength,H3t_formula_raw,H3t,WeekPositive,WeekNeutral,WeekNegative,NewsCount,PositiveNegativeTotal
2014-10-20,2014-10-20,2014-10-14,2014-10-20,276,0.7427184466019418,0.8471337579617835,-0.10441531135984172,0.10441531135984172,0.10714093032844497,0.696203010648789,0.4854368932038835,0.1999312655726437,0.5145631067961165,0.8000687344273563,0.19993126557264373,0.02142082179519645,0.13919274901449713,153,416,53,622,206
2014-10-27,2014-10-27,2014-10-21,2014-10-27,277,0.7327188940092166,0.7949261022818626,-0.06220720827264592,0.06220720827264592,0.25586292473137645,0.40848957388948104,0.46543778801843316,0.15851718934790582,0.5345622119815668,0.8414828106520941,0.15851718934790593,0.040558671686752576,0.06475261913088427,159,363,58,580,217
2014-11-03,2014-11-03,2014-10-28,2014-11-03,278,0.725,0.7741903661909806,-0.049190366190980606,0.049190366190980606,0.30172830539570067,0.31975968324899817,0.45,0.1265486725663717,0.55,0.8734513274336283,0.1265486725663717,0.03818331652352673,0.0404651634554042,203,478,77,758,280
2014-11-10,2014-11-10,2014-11-04,2014-11-10,279,0.8043478260869565,0.7618927746432355,0.04245505144372108,0.04245505144372108,0.6246447193450664,0.27384810675416277,0.6086956521739131,0.4551750673335899,0.3913043478260869,0.5448249326664101,0.4551750673335899,0.284322702187462,0.12464883043100215,148,484,36,668,184
2014-11-17,2014-11-17,2014-11-11,2014-11-17,280,0.8226950354609929,0.7511962916745287,0.07149874378646415,0.07149874378646415,0.7269813688058245,0.47182574443306496,0.6453900709219859,0.5311617397853512,0.35460992907801414,0.4688382602146487,0.5311617397853513,0.3861446886464378,0.2506157832885853,116,447,25,588,141
2014-11-24,2014-11-24,2014-11-18,2014-11-24,281,0.9130434782608695,0.7711904388892915,0.141853039371578,0.141853039371578,0.9748776348999434,0.9513989707341034,0.8260869565217391,0.905348210850327,0.17391304347826086,0.09465178914967295,0.905348210850327,0.882603722554662,0.8613473559589632,147,479,14,640,161
2014-12-01,2014-12-01,2014-11-25,2014-12-01,282,0.891156462585034,0.8162715849522048,0.07488487763282925,0.07488487763282925,0.7389125512592586,0.4949074783895066,0.782312925170068,0.8147011016796099,0.217687074829932,0.18529889832039015,0.8147011016796099,0.6019928695558091,0.4032016678734087,131,473,16,620,147
2014-12-08,2014-12-08,2014-12-02,2014-12-08,283,0.8869047619047619,0.8578107005984632,0.029094061306298657,0.029094061306298657,0.577566718793126,0.1827723153829278,0.7738095238095238,0.7970922882427307,0.22619047619047616,0.2029077117572692,0.7970922882427308,0.4603739774956586,0.14568640309599998,149,504,19,672,168
2014-12-15,2014-12-15,2014-12-09,2014-12-15,284,0.8562874251497006,0.8784499345529145,-0.02216250940321396,0.02216250940321396,0.3969620750254203,0.13552307947218137,0.7125748502994012,0.670287743097875,0.28742514970059885,0.329712256902125,0.670287743097875,0.2660788133642383,0.0908394590770824,143,469,24,636,167
2014-12-22,2014-12-22,2014-12-16,2014-12-22,285,0.8215962441314554,0.8868480319750915,-0.06525178784363617,0.06525178784363617,0.24513522287325978,0.4292430877360323,0.6431924882629108,0.5266109933939922,0.35680751173708924,0.4733890066060078,0.5266109933939922,0.129090903233145,0.22604412884017652,175,506,38,719,213
2014-12-29,2014-12-29,2014-12-23,2014-12-29,286,0.8865248226950354,0.863986223442738,0.022538599252297398,0.022538599252297398,0.5544682775082922,0.13808671287656693,0.7730496453900709,0.7955187347015628,0.22695035460992907,0.2044812652984372,0.7955187347015629,0.4410899025555516,0.10985056710666453,125,489,16,630,141
2015-01-07,2015-01-07,2014-12-30,2015-01-07,287,0.8682634730538922,0.8628283134702384,0.005435159583653815,0.005435159583653815,0.49420360147165393,0.021500345626063358,0.7365269461077845,0.7198876583116952,0.26347305389221554,0.28011234168830473,0.7198876583116953,0.3557710733926352,0.015477833465638852,145,506,22,673,167
2015-01-14,2015-01-14,2015-01-08,2015-01-14,288,0.8862559241706162,0.8581679912575209,0.028087932913095304,0.028087932913095304,0.5740215838470353,0.17591399585049963,0.7725118483412322,0.794405066476534,0.2274881516587678,0.20559493352346603,0.794405066476534,0.4560056544749694,0.1397469695677689,187,423,24,634,211
2015-01-21,2015-01-21,2015-01-15,2015-01-21,289,0.7788944723618091,0.8656601160127497,-0.08676564365094064,0.08676564365094064,0.1693302634238968,0.5758932553466565,0.5577889447236181,0.3497576377462533,0.44221105527638194,0.6502423622537467,0.34975763774625335,0.059224552934092935,0.20142306458404646,155,393,44,592,199
2015-01-28,2015-01-28,2015-01-22,2015-01-28,290,0.7836538461538461,0.8549846730703383,-0.07133082691649217,0.07133082691649217,0.22371547763854072,0.4706811315218972,0.5673076923076923,0.36946902654867253,0.4326923076923077,0.6305309734513274,0.36946902654867264,0.08265593974698296,0.17390209947822313,163,405,45,613,208
