code,period,start,end,obs,alpha_daily,alpha_annual,alpha_t,alpha_pvalue,beta,beta_t,beta_pvalue,r2,stock_total_return,market_total_return,alpha_rank
sh.601633,2019-2021,2019-01-01,2021-12-31,729,0.0026065592069579916,0.6568529201534139,2.329478513134999,0.020106735373645643,1.195608022817244,13.792214638571492,1.312570547262922e-38,0.20739202087198283,7.65240641711231,0.6636858295995842,1
sh.600745,2019-2021,2019-01-01,2021-12-31,729,0.0022644862442452243,0.5706505335497966,1.8341823381757811,0.06703548575651923,1.1513550539213744,12.037496221634479,1.464416258243749e-30,0.16619004094328793,5.177735308170091,0.6636858295995842,2
sh.600111,2019-2021,2019-01-01,2021-12-31,729,0.002110477537296817,0.5318403393987979,1.7769498181707428,0.0759945574687196,0.9605881887340809,10.439645302664216,7.209974828781694e-24,0.13036841376296116,4.270425776754905,0.6636858295995842,3
sh.601012,2019-2021,2019-01-01,2021-12-31,729,0.0018716535599103549,0.4716566970974094,1.6920551160183706,0.0910639733082889,1.1523574281533637,13.447152133133613,5.660514054929438e-37,0.1991856592698137,3.962579159470353,0.6636858295995842,4
sh.601919,2019-2021,2019-01-01,2021-12-31,729,0.0018166825051409118,0.45780399129550975,1.5232669757637873,0.1281267736759572,1.1766766818852858,12.735271612032912,1.113321619460493e-33,0.1823993343844028,3.5808823529411686,0.6636858295995842,5
sh.600703,2019-2021,2019-01-01,2021-12-31,729,0.001236997203108045,0.31172329518322733,1.0734684683232865,0.28341715317798805,1.4018662962092008,15.702949746651537,4.5891145531916796e-48,0.2532734489695614,2.374663072776277,0.6636858295995842,6
sh.600089,2019-2021,2019-01-01,2021-12-31,729,0.0012161085466652305,0.30645935375963806,1.3041493677966567,0.19259540681216047,0.8773421837514342,12.144456333466563,4.953344691721191e-31,0.16865623090891702,2.0592485549133053,0.6636858295995842,7
sh.601899,2019-2021,2019-01-01,2021-12-31,729,0.0011852896541586842,0.29869299284798845,1.3081930533735633,0.19122129501367297,1.0321819915680401,14.704751665521522,4.8216925737214755e-43,0.2292439652882804,2.2225913621262494,0.6636858295995842,8
sh.600309,2019-2021,2019-01-01,2021-12-31,729,0.0011371695422710514,0.2865667246523049,1.5136833492941473,0.13054076980353058,1.1972847550397947,20.57128111693823,1.8485935525594346e-74,0.36792370525484464,2.5513361462728574,0.6636858295995842,9
sh.600893,2019-2021,2019-01-01,2021-12-31,729,0.0010823925176793063,0.2727629144551852,1.0691209769207122,0.2853700063175636,1.1348640499599683,14.46904875134015,6.976818817048405e-42,0.22358372178787023,1.95162790697673,0.6636858295995842,10
sh.600519,2019-2021,2019-01-01,2021-12-31,729,0.0010779955783442449,0.2716548857427497,1.8934069411636227,0.058700603284292246,1.053305606487696,23.880062168044706,1.704115604294785e-93,0.439586918302472,2.422484890981334,0.6636858295995842,11
sh.600196,2019-2021,2019-01-01,2021-12-31,729,0.0008496790898155892,0.21411913063352847,0.8071701510777954,0.4198324530850228,0.9553640174969293,11.714752424665898,3.7111533226935644e-29,0.15879402822565725,1.27099767981439,0.6636858295995842,12
sh.600406,2019-2021,2019-01-01,2021-12-31,729,0.000772558986605546,0.19468486462459758,0.8292132134877235,0.4072559399342426,0.8790049694400057,12.178112099839218,3.517293866163532e-31,0.16943371131594065,1.2091611479028739,0.6636858295995842,13
sh.600031,2019-2021,2019-01-01,2021-12-31,729,0.0007580396339559745,0.19102598775690557,1.0291373707308915,0.3037573931876934,1.314522420565221,23.03581093093408,1.3662735695690675e-88,0.4219370907510339,1.8322981366459716,0.6636858295995842,14
sh.600010,2019-2021,2019-01-01,2021-12-31,729,0.0007337588508022669,0.18490723040217125,0.7515471553052456,0.45256665190705425,0.634818449491813,8.39279266114427,2.470323921643169e-16,0.08833148544514147,0.8979591836734657,0.6636858295995842,15
sh.600690,2019-2021,2019-01-01,2021-12-31,729,0.0004698021780115385,0.11839014885890771,0.6843005454574866,0.49400347630669783,1.163297080798764,21.87139934986698,7.126271833948056e-82,0.3968597429616283,1.2091648189209088,0.6636858295995842,16
sh.600036,2019-2021,2019-01-01,2021-12-31,729,0.0003777676866572355,0.09519745703762335,0.71594557712949,0.4742548459478747,0.9335584034001566,22.837616104052856,1.9191176477497496e-87,0.417727689438937,0.9824989824989796,0.6636858295995842,17
sh.600900,2019-2021,2019-01-01,2021-12-31,729,0.0003736416152108094,0.09415768703312397,0.8597009292704246,0.39023731618892576,0.23557706532618009,6.996474160203378,5.9660344292157905e-12,0.06308474724758562,0.4721141374837827,0.6636858295995842,18
sh.600887,2019-2021,2019-01-01,2021-12-31,729,0.0002593919654013018,0.06536677528112805,0.4298326814067464,0.6674447277960597,1.0236985388342763,21.896215994513092,5.1330585534219363e-82,0.3974027519229657,0.8443060498220676,0.6636858295995842,19
sh.601088,2019-2021,2019-01-01,2021-12-31,729,5.150485771896488e-05,0.01297922414517915,0.07405434560898941,0.9409875130652965,0.5774796251501549,10.71749018723768,5.521552917411437e-25,0.1364407013563652,0.26730444569499445,0.6636858295995842,20
sh.600048,2019-2021,2019-01-01,2021-12-31,729,7.876913023634153e-06,0.001984982081955807,0.010923604878407838,0.9912873944856455,0.7833490561773847,14.02230241008855,1.034811686487912e-39,0.21288398685231136,0.33475661827497616,0.6636858295995842,21
sh.600585,2019-2021,2019-01-01,2021-12-31,729,-1.7456222329878022e-05,-0.004398968027129262,-0.02795052223649989,0.9777092838627948,0.8562330211159818,17.696431796838684,1.5191807973596774e-58,0.30107155137205144,0.3983344899375416,0.6636858295995842,22
sh.600030,2019-2021,2019-01-01,2021-12-31,729,-7.668491608487357e-05,-0.01932459885338814,-0.14161231758754536,0.8874254688645491,1.3185873623862803,31.430700812363582,1.2981397352889092e-137,0.5760658446762059,0.6495940037476542,0.6636858295995842,23
sh.601628,2019-2021,2019-01-01,2021-12-31,729,-9.332883646167949e-05,-0.02351886678834323,-0.1310036012393855,0.8958087009553564,1.2609172177050374,22.845887285590035,1.7188664264720776e-87,0.41790385191559487,0.5082706766917253,0.6636858295995842,24
