history_group,stock_count,train_alpha_mean,future_alpha_mean,future_alpha_median,future_positive_ratio,avg_future_rank,alpha_decay
Q1(高Alpha),10,0.41650097623932714,-0.08339736875638694,-0.0482245874138227,0.2,38.5,-0.49989834499571406
Q2(中Alpha),10,0.14424833915159146,0.029040086207161454,0.004364521200445375,0.5,31.1,-0.11520825294443002
Q3(中Alpha),10,-0.04107016919941278,0.07539575903726456,0.0731103610354102,0.7,26.4,0.11646592823667734
Q4(中Alpha),10,-0.12156283041088467,0.17454489854926764,0.1792610647040191,1.0,15.9,0.2961077289601523
Q5(低Alpha),10,-0.17723231361476832,0.1656609787137578,0.15364352372175244,1.0,15.6,0.3428932923285261
