code,obs_train,alpha_daily_train,alpha_annual_train,alpha_t_train,alpha_pvalue_train,beta_train,beta_pvalue_train,r2_train,stock_total_return_train,market_total_return_train,alpha_rank_train,obs_test,alpha_daily_test,alpha_annual_test,alpha_t_test,alpha_pvalue_test,beta_test,beta_pvalue_test,r2_test,stock_total_return_test,market_total_return_test,alpha_rank_test,is_train_top20,is_future_top20,rank_change,alpha_change
sh.601633,729,0.0026065592069579916,0.6568529201534139,2.329478513134999,0.020106735373645643,1.195608022817244,1.312570547262922e-38,0.20739202087198283,7.65240641711231,0.6636858295995842,1,484,-1.4850729158788614e-05,-0.0037423837480147306,-0.013425310083175433,0.989294029127284,1.3302486543105108,8.188183740456824e-34,0.2629594686217891,-0.4804285125669552,-0.3054958215404492,34,True,False,33,-0.6605953039014286
sh.600745,729,0.0022644862442452243,0.5706505335497966,1.8341823381757811,0.06703548575651923,1.1513550539213744,1.464416258243749e-30,0.16619004094328793,5.177735308170091,0.6636858295995842,2,484,-0.0008435061993579856,-0.21256356223821238,-0.7866024443024167,0.4319011913453824,1.4848436895958002,1.8497323901070608e-42,0.32111992495759933,-0.6727764887857699,-0.3054958215404492,48,True,False,46,-0.7832140957880089
sh.600111,729,0.002110477537296817,0.5318403393987979,1.7769498181707428,0.0759945574687196,0.9605881887340809,7.209974828781694e-24,0.13036841376296116,4.270425776754905,0.6636858295995842,3,484,-0.0006143754547768653,-0.15482261460377006,-0.7145119068867596,0.47525658598251386,1.2667447503796656,8.042673015292131e-47,0.3487194927253702,-0.5777292576419221,-0.3054958215404492,47,True,False,44,-0.6866629540025679
sh.601012,729,0.0018716535599103549,0.4716566970974094,1.6920551160183706,0.0910639733082889,1.1523574281533637,5.660514054929438e-37,0.1991856592698137,3.962579159470353,0.6636858295995842,4,484,-0.0015622216303124645,-0.393679850838741,-1.4297565460197708,0.15343474454728298,1.1402565031035965,9.69989573210275e-27,0.2117743137315501,-0.7343387470997682,-0.3054958215404492,50,True,False,46,-0.8653365479361504
sh.601919,729,0.0018166825051409118,0.45780399129550975,1.5232669757637873,0.1281267736759572,1.1766766818852858,1.113321619460493e-33,0.1823993343844028,3.5808823529411686,0.6636858295995842,5,484,-0.0005199288582113446,-0.13102207226925883,-0.5866154774242638,0.5577366153748253,0.9011136963337276,1.3453070013874823e-25,0.20319354366049358,-0.4874264312466575,-0.3054958215404492,45,True,False,40,-0.5888260635647686
sh.600703,729,0.001236997203108045,0.31172329518322733,1.0734684683232865,0.28341715317798805,1.4018662962092008,4.5891145531916796e-48,0.2532734489695614,2.374663072776277,0.6636858295995842,6,484,-0.0009989506282697682,-0.2517355583239816,-1.0121954515206952,0.31195244313977744,1.0833541444075465,4.328425555913938e-29,0.2291541965505357,-0.63125665601704,-0.3054958215404492,49,True,False,43,-0.5634588535072089
sh.600089,729,0.0012161085466652305,0.30645935375963806,1.3041493677966567,0.19259540681216047,0.8773421837514342,4.953344691721191e-31,0.16865623090891702,2.0592485549133053,0.6636858295995842,7,484,0.00014269962928269804,0.035960306579239903,0.15266272665345246,0.8787281405277729,1.0552160171940206,1.7976671961287026e-30,0.23919627421961542,-0.348134152102031,-0.3054958215404492,32,True,False,25,-0.2704990471803982
sh.601899,729,0.0011852896541586842,0.29869299284798845,1.3081930533735633,0.19122129501367297,1.0321819915680401,4.8216925737214755e-43,0.2292439652882804,2.2225913621262494,0.6636858295995842,8,484,0.001508846823682207,0.3802293995679161,1.7248187470534557,0.08520119167265562,1.064543262347014,1.7811417993126177e-34,0.26758383074526004,0.2845360824742267,-0.3054958215404492,2,True,True,-6,0.08153640671992768
sh.600309,729,0.0011371695422710514,0.2865667246523049,1.5136833492941473,0.13054076980353058,1.1972847550397947,1.8485935525594346e-74,0.36792370525484464,2.5513361462728574,0.6636858295995842,9,484,0.00018742077905282647,0.04723003632131227,0.287346936589667,0.7739701808533138,0.8826045269099518,6.259040583345434e-41,0.3111714759104103,-0.23940594059405906,-0.3054958215404492,30,True,False,21,-0.23933668833099264
sh.600893,729,0.0010823925176793063,0.2727629144551852,1.0691209769207122,0.2853700063175636,1.1348640499599683,6.976818817048405e-42,0.22358372178787023,1.95162790697673,0.6636858295995842,10,484,-0.00032940728829670285,-0.08301063665076912,-0.37816152576901213,0.7054770913147721,0.802109943657064,1.1377649824805674e-21,0.17299808026144525,-0.4109675386069962,-0.3054958215404492,42,True,False,32,-0.3557735511059543
