code,obs_train,alpha_daily_train,alpha_annual_train,alpha_t_train,alpha_pvalue_train,beta_train,beta_pvalue_train,r2_train,stock_total_return_train,market_total_return_train,alpha_rank_train,obs_test,alpha_daily_test,alpha_annual_test,alpha_t_test,alpha_pvalue_test,beta_test,beta_pvalue_test,r2_test,stock_total_return_test,market_total_return_test,alpha_rank_test,is_train_top20,is_future_top20,rank_change,alpha_change
sh.601138,729,-0.0004931044579225895,-0.12426232339649254,-0.6714607996039884,0.5021403180192998,1.0484530775389609,1.6115162971638782e-62,0.3183958634975027,0.02758620689655289,0.6636858295995842,38,484,0.0016042514645640737,0.4042713690701466,1.3102440196320422,0.19073733849954136,1.006646551185242,6.8367865938358684e-18,0.14292579544563733,0.2684563758389267,-0.3054958215404492,1,False,True,-37,0.5285336924666392
sh.601899,729,0.0011852896541586844,0.2986929928479885,1.3081930533735635,0.1912212950136729,1.0321819915680401,4.821692573721271e-43,0.2292439652882805,2.2225913621262494,0.6636858295995842,8,484,0.001508846823682206,0.38022939956791596,1.7248187470534548,0.08520119167265572,1.064543262347014,1.7811417993126684e-34,0.26758383074525993,0.2845360824742267,-0.3054958215404492,2,True,True,-6,0.08153640671992746
sh.601857,729,-0.0007662423148230566,-0.19309306333541026,-1.6062752167405043,0.1086476840508918,0.39388612454518535,9.604219224690643e-25,0.13513586847870118,-0.31424581005586893,0.6636858295995842,48,484,0.0013051539261455937,0.3288987893886896,1.5346149757773968,0.1255345434620969,0.5611888875454061,2.397986753997999e-12,0.09699762568757342,0.43788187372708975,-0.3054958215404492,3,False,True,-45,0.5219918527240999
sh.601088,729,5.150485771896488e-05,0.01297922414517915,0.0740543456089894,0.9409875130652965,0.5774796251501548,5.521552917411437e-25,0.1364407013563652,0.26730444569499445,0.6636858295995842,20,484,0.0012129985406001396,0.3056756322312352,1.3696974039861605,0.17141912696642986,0.5095595941709089,7.822526620926278e-10,0.07550921440871872,0.3920959147424523,-0.3054958215404492,4,True,True,-16,0.292696408086056
sh.600050,729,-0.0008202577829224306,-0.2067049612964525,-1.5634376926062286,0.1183848462779727,0.731267677185369,3.87259994767178e-60,0.30806984124941394,-0.23984526112185678,0.6636858295995842,49,484,0.000999865337819307,0.2519660651304654,1.0457110735019872,0.2962185742301175,0.7766933811546279,1.571419085441004e-17,0.13999686793191657,0.11450381679388899,-0.3054958215404492,5,False,True,-44,0.45867102642691787
sh.600028,729,-0.0004787242125686125,-0.12063850156729035,-1.0624147978634446,0.2884001995750757,0.3772271618417847,2.410633681987094e-25,0.13839085164037646,-0.15568862275449236,0.6636858295995842,36,484,0.0009394334788083538,0.23673723665970517,1.5024661910713613,0.1336316030744992,0.42739511091272736,4.236460580247024e-13,0.10335589190917605,0.31914893617021134,-0.3054958215404492,6,False,True,-30,0.35737573822699553
sh.601628,729,-9.332883646167927e-05,-0.023518866788343175,-0.1310036012393852,0.8958087009553566,1.2609172177050372,1.7188664264720776e-87,0.417903851915595,0.5082706766917253,0.6636858295995842,24,484,0.000848783057560057,0.21389333050513434,1.0677771637509916,0.28615553577918523,1.079774971314556,3.5108854068548837e-41,0.31281458284257546,-0.057826520438685636,-0.3054958215404492,7,False,True,-17,0.2374121972934775
sh.600919,729,-0.00041081882793515194,-0.10352634463965829,-0.8261371972418271,0.408997301312206,0.6179473375391633,8.491914752102762e-50,0.26139291338213155,-0.018518518518513938,0.6636858295995842,31,484,0.0008354050308989807,0.21052206778654314,1.4110226777707773,0.1588830323494949,0.6641363378002735,3.742397490347268e-30,0.23689308358253947,0.1475128644939976,-0.3054958215404492,8,False,True,-23,0.3140484124262014
sh.601601,729,-0.0006013500251281586,-0.15154020633229598,-0.9563322331700175,0.3392223056081628,1.0553558295363055,1.105505290560026e-80,0.392302969107458,-0.010218978102193743,0.6636858295995842,43,484,0.0008145404958774697,0.20526420496112238,1.0402698387260056,0.2987360764760841,1.2127461225549674,1.310695087559646e-50,0.371785844548588,-0.12315634218288907,-0.3054958215404492,9,False,True,-34,0.35680441129341833
sh.600547,729,-0.0005859429236019318,-0.14765761674768682,-0.5918738735974312,0.5541190590161978,0.34572997073187495,7.632678525499387e-06,0.027190872335168703,-0.3829508196721305,0.6636858295995842,40,484,0.000800385571621926,0.20169716404872537,0.9173679834674824,0.3594086281284815,0.35591604145365313,1.0752255482948063e-05,0.03943564406779343,0.2151965993623819,-0.3054958215404492,10,False,True,-30,0.3493547807964122
sh.601390,729,-0.0006434598590183726,-0.1621518844726299,-1.3040960140794058,0.19261358577827645,0.6538971630018902,2.193411528231778e-55,0.2869889218693179,-0.15720524017467408,0.6636858295995842,44,484,0.0007674473427139521,0.19339673036391594,0.8219589755734417,0.4115066476121011,0.8219839148578685,4.3626882865950694e-20,0.16051678622250087,-0.018998272884284906,-0.3054958215404492,11,False,True,-33,0.3555486148365459
sh.601988,729,-0.0004850578872359845,-0.1222345875834681,-1.8406918579213918,0.06607408304290871,0.3558308826154486,4.126895043728957e-57,0.294714261202216,-0.13841807909604587,0.6636858295995842,37,484,0.0007416783536892344,0.18690294512968708,1.4224878441720905,0.1555315014396088,0.23616032808691506,1.0836928245642827e-06,0.04817435394606273,0.30819672131147446,-0.3054958215404492,12,False,True,-25,0.3091375327131552
sh.601319,729,-0.0007132695152527077,-0.17974391784368232,-1.0700717812898242,0.2849421367930812,1.024169817854776,2.6668245071889126e-70,0.35109114533447916,-0.10984848484848742,0.6636858295995842,45,484,0.0007140374426471594,0.17993743554708416,1.1844101803495877,0.23683443969274878,0.7833722497926783,2.3780912019050776e-38,0.2940643906450482,0.029787234042551125,-0.3054958215404492,13,False,True,-32,0.35968135339076646
sh.601668,729,-0.0005957666785973239,-0.15013320300652563,-1.3815893100592307,0.1675222636169661,0.6717050744956737,7.760748829904356e-72,0.35735910931714976,-0.10714285714285665,0.6636858295995842,42,484,0.0006387967910483517,0.16097679134418463,0.8304714691081972,0.4066834265036968,0.7967189191343453,2.0872477264134205e-26,0.20928302156054268,-0.03800000000000059,-0.3054958215404492,14,False,True,-28,0.3111099943507103
sh.600276,729,-0.000466585694306615,-0.11757959496526699,-0.6257459793026365,0.5316779574975727,0.8479830522618012,6.435271509336839e-43,0.22863442768079578,-0.04266565980743475,0.6636858295995842,33,484,0.0006303060199846164,0.15883711703612333,0.7418688872760888,0.4585281092298992,0.9320832615927735,4.6267397074796574e-29,0.22894244265227492,-0.10806547032143832,-0.3054958215404492,15,False,True,-18,0.2764167120013903
sh.601288,729,-0.0005123906609618986,-0.12912244656239846,-1.8025032211057836,0.07188031708783547,0.3390532114380469,1.6810414216754044e-46,0.24586992394239437,-0.16477272727272652,0.6636858295995842,39,484,0.0005969830674521771,0.15043973299794863,1.2544119525602428,0.21030026727517936,0.20982697010861845,2.042038484595993e-06,0.045762941185882644,0.23809523809524036,-0.3054958215404492,16,False,True,-23,0.2795621795603471
sh.600519,729,0.0010779955783442458,0.27165488574274993,1.8934069411636238,0.05870060328429207,1.053305606487696,1.704115604294785e-93,0.4395869183024719,2.422484890981334,0.6636858295995842,11,484,0.0005174134484466949,0.1303881890085671,0.981980193677484,0.3266022415432125,1.0611620085583429,1.3450021989220096e-74,0.5001566378931992,-0.15804878048780469,-0.3054958215404492,17,True,True,6,-0.14126669673418282
sh.601318,729,-0.0007171231856466589,-0.18071504278295805,-1.5836720866798755,0.1137032471363613,0.9421535285325725,6.62772661632084e-111,0.4980198370515505,-0.08644436389996113,0.6636858295995842,46,484,0.0004811714803106882,0.12125521303829342,0.822254652213735,0.4113385469992191,1.1250392888216272,7.748096139658027e-70,0.47694847455491185,-0.20055544534814662,-0.3054958215404492,18,False,True,-28,0.3019702558212515
sh.600030,729,-7.668491608487334e-05,-0.01932459885338808,-0.14161231758754494,0.8874254688645494,1.3185873623862805,1.2981397352886877e-137,0.5760658446762059,0.6495940037476542,0.6636858295995842,23,484,0.0004273182690827348,0.10768420380884917,0.8222432303526805,0.4113450398941063,1.166489484695845,1.3874682412052873e-86,0.5541496997336143,-0.22870124952669346,-0.3054958215404492,19,False,True,-4,0.12700880266223724
sh.600019,729,-0.00016518676029837168,-0.04162706359518966,-0.2161605628712579,0.8289232291683832,0.7265151545249176,1.3549997610122166e-31,0.1715961863385359,0.12755905511811094,0.6636858295995842,26,484,0.0003409840926826412,0.08592799135602558,0.48732027811069045,0.6262529335900303,0.8380666116875071,1.3666814439632187e-33,0.26140009632462136,-0.17178770949720557,-0.3054958215404492,20,False,True,-6,0.12755505495121525
