code,obs_train,alpha_daily_train,alpha_annual_train,alpha_t_train,alpha_pvalue_train,beta_train,beta_pvalue_train,r2_train,stock_total_return_train,market_total_return_train,alpha_rank_train,obs_test,alpha_daily_test,alpha_annual_test,alpha_t_test,alpha_pvalue_test,beta_test,beta_pvalue_test,r2_test,stock_total_return_test,market_total_return_test,alpha_rank_test,is_train_top20,is_future_top20,rank_change,alpha_change
sh.601899,729,0.0011852896541586844,0.2986929928479885,1.3081930533735635,0.1912212950136729,1.0321819915680401,4.821692573721271e-43,0.2292439652882805,2.2225913621262494,0.6636858295995842,8,726,0.0010677255413500376,0.26906683642020945,1.4834343928633207,0.13839421070001592,0.8985899473807716,2.9210850708068323e-43,0.23113601855372323,0.5587628865979353,-0.20351951946627433,5,True,True,-3,-0.02962615642777905
sh.600900,729,0.0003736416152108095,0.094157687033124,0.8597009292704249,0.39023731618892565,0.2355770653261801,5.9660344292157905e-12,0.0630847472475855,0.4721141374837827,0.6636858295995842,18,726,0.0004468863890630176,0.11261537004388043,1.053549953220159,0.29244048488547697,0.24358285857855955,2.400050155328931e-11,0.05980078896196506,0.30176211453744584,-0.20351951946627433,20,True,True,2,0.01845768301075644
sh.601088,729,5.150485771896488e-05,0.01297922414517915,0.0740543456089894,0.9409875130652965,0.5774796251501548,5.521552917411437e-25,0.1364407013563652,0.26730444569499445,0.6636858295995842,20,726,0.0011582316587766006,0.29187437801170335,1.6667937239728254,0.09598792824517513,0.4087753958887994,8.076606869866638e-12,0.06256900253398079,0.9307282415630567,-0.20351951946627433,3,True,True,-17,0.2788951538665242
