history_group,stock_count,train_alpha_mean,future_alpha_mean,future_alpha_median,future_positive_ratio,avg_future_rank,alpha_decay
Q1(高Alpha),10,0.41650097623932714,-0.07671569362042793,-0.10701635446001398,0.3,37.9,-0.4932166698597551
Q2(中Alpha),10,0.14424833915159146,0.021128432690459935,0.007638740107921361,0.5,30.6,-0.12311990646113152
Q3(中Alpha),10,-0.04107016919941278,0.04665164273873525,0.06644847106409167,0.7,26.9,0.08772181193814803
Q4(中Alpha),10,-0.12156283041088467,0.17375951459849848,0.17287003108290527,1.0,14.5,0.29532234500938315
Q5(低Alpha),10,-0.17723231361476832,0.1398904423643266,0.17045711344563413,0.8,17.6,0.3171227559790949
