week,H3t,return,predicted_return,residual
2015-08-10,0.11470757105852766,0.066624186522652,0.012627628062748246,0.05399655845990376
2015-08-17,0.04204811311248912,-0.001588988238059419,0.012627628062748246,-0.014216616300807665
2015-08-24,0.0763685579530629,-0.196754678300191,0.012627628062748246,-0.20938230636293925
2015-08-31,0.0008242282945593133,0.02778481650297815,0.012627628062748246,0.015157188440229903
2015-09-09,0.026708305699835736,0.009734029597153082,0.012627628062748246,-0.002893598465595164
2015-09-16,0.8646874107907507,-0.026493611938893435,0.012627628062748246,-0.03912124000164168
2015-09-23,0.20156173288911491,-0.013966910931479837,0.012627628062748246,-0.026594538994228083
2015-09-30,0.06762236882622409,-0.018412334547950993,0.012627628062748246,-0.03103996261069924
2015-10-14,0.10406457934966075,0.06342902636631864,0.012627628062748246,0.050801398303570396
2015-10-21,0.11124080573409557,0.019711635854390952,0.012627628062748246,0.007084007791642706
