feature,importance
H3_lag5,0.01671602807547843
month,0.014267165010377177
H3_lag2,0.006146175840364179
H3_lag1,0.006119675242173314
H3_roll_mean_3,0.004828715218062642
H3_lag3,0.004244639817066111
H3_roll_std_5,0.00403153486666955
H3_lag4,0.002701240601513128
H3_roll_mean_5,0.001570712423105281
H3_roll_std_3,0.0006516823980729429
quarter,0.0
