week,week_start,week_end,week_id,P_t,E_P_t,H1t,H2t,H1t_norm,H2t_norm,H3t,H3t_formula_reference,WeekPositive,WeekNeutral,WeekNegative,NewsCount,close,return
2014-10-13,2014-09-30,2014-10-13,275,0.8471337579617835,0.8471337579617835,0.0,0.30573248407643316,0.0,0.3676230201228793,0.0,0.174640268665099,133,299,24,456,2454.95,0.0029209902769833374
2014-10-20,2014-10-14,2014-10-20,276,0.7427184466019418,0.8471337579617835,-0.10441531135984172,0.5145631067961165,0.7008543263959575,0.8000687344273563,0.1401226924584065,0.08572010853324852,153,416,53,622,2454.71,-9.776166520691909e-05
2014-10-27,2014-10-21,2014-10-27,277,0.7327188940092166,0.7949261022818626,-0.06220720827264592,0.5345622119815668,0.41754595646080905,0.8414828106520941,0.06618821144175055,0.21530425304462386,159,363,58,580,2368.83,-0.03498580280358987
2014-11-03,2014-10-28,2014-11-03,278,0.725,0.7741903661909806,-0.049190366190980606,0.55,0.3301745741401815,0.8734513274336283,0.04178315407260704,0.2635449888721739,203,478,77,758,2512.55,0.0606713018663223
2014-11-10,2014-11-04,2014-11-10,279,0.8043478260869565,0.7618927746432355,0.04245505144372108,0.3913043478260869,0.2849659316644877,0.5448249326664101,0.12970938713316238,0.3403220171576044,148,484,36,668,2565.73,0.02116574794531445
2014-11-17,2014-11-11,2014-11-17,280,0.8226950354609929,0.7511962916745287,0.07149874378646415,0.35460992907801414,0.479912411906018,0.4688382602146487,0.2549111116525847,0.3408366801593867,116,447,25,588,2567.1,0.0005339610948931206
2014-11-24,2014-11-18,2014-11-24,281,0.9130434782608695,0.7711904388892915,0.141853039371578,0.17391304347826086,0.9521430819026697,0.09465178914967295,0.8620210356740984,0.09227391234528129,147,479,14,640,2649.26,0.03200498617116598
2014-12-01,2014-11-25,2014-12-01,282,0.891156462585034,0.8162715849522048,0.07488487763282925,0.217687074829932,0.5026407505478687,0.18529889832039015,0.4095019732204146,0.13691968170344943,131,473,16,620,2819.81,0.06437646739089398
2014-12-08,2014-12-02,2014-12-08,283,0.8869047619047619,0.8578107005984632,0.029094061306298657,0.22619047619047616,0.19528456577289802,0.2029077117572692,0.15565982139040735,0.11719274129746739,149,504,19,672,3252.88,0.1535812696600125
2014-12-15,2014-12-09,2014-12-15,284,0.8562874251497006,0.8784499345529145,-0.02216250940321396,0.28742514970059885,0.14875874425642413,0.329712256902125,0.0997111629537125,0.130883261661182,143,469,24,636,3217.23,-0.010959518949361868
2014-12-22,2014-12-16,2014-12-22,285,0.8215962441314554,0.8868480319750915,-0.06525178784363617,0.35680751173708924,0.43798172145155473,0.4733890066060078,0.23064598942201403,0.11604431964011477,175,506,38,719,3394.48,0.055093978360266416
2014-12-29,2014-12-23,2014-12-29,286,0.8865248226950354,0.863986223442738,0.022538599252297398,0.22695035460992907,0.15128312688202733,0.2044812652984372,0.12034856167888637,0.11337837495274058,125,489,16,630,3455.46,0.01796445994673701
2015-01-07,2014-12-30,2015-01-07,287,0.8682634730538922,0.8628283134702384,0.005435159583653815,0.26347305389221554,0.036481767465391786,0.28011234168830473,0.026262774151732685,0.1384325280790187,145,506,22,673,3643.79,0.054502150220231194
2015-01-14,2015-01-08,2015-01-14,288,0.8862559241706162,0.8581679912575209,0.028087932913095304,0.2274881516587678,0.18853125126276588,0.20559493352346603,0.14977018119230165,0.1180159293720659,187,423,24,634,3502.42,-0.03879751577341173
2015-01-21,2015-01-15,2015-01-21,289,0.7788944723618091,0.8656601160127497,-0.08676564365094064,0.44221105527638194,0.5823865862519405,0.6502423622537467,0.20369415666258334,0.11010571048980385,155,393,44,592,3548.88,0.013265113835576603
