week,week_start,week_end,week_id,P_t,E_P_t,H1t,H2t,H1t_norm,H2t_norm,H3t,WeekPositive,WeekNeutral,WeekNegative,NewsCount,close,return,H3_lag1,H3_lag2,H3_lag3,H3_lag4,H3_lag5,H3_roll_mean_3,H3_roll_std_3,H3_roll_mean_5,H3_roll_std_5,month,quarter
2014-10-13,2014-09-30,2014-10-13,275,0.8471337579617835,0.8471337579617835,0.0,0.30573248407643316,0.0,0.3676230201228793,0.0,133,299,24,456,2454.95,0.0029209902769833374,,,,,,,0.0,,0.0,10,4
2014-10-20,2014-10-14,2014-10-20,276,0.7427184466019418,0.8471337579617835,-0.10441531135984172,0.5145631067961165,0.7008543263959575,0.8000687344273563,0.1401226924584065,153,416,53,622,2454.71,-9.776166520691909e-05,0.0,,,,,,0.0,,0.0,10,4
2014-10-27,2014-10-21,2014-10-27,277,0.7327188940092166,0.7949261022818626,-0.06220720827264592,0.5345622119815668,0.41754595646080905,0.8414828106520941,0.06618821144175055,159,363,58,580,2368.83,-0.03498580280358987,0.1401226924584065,0.0,,,,0.06877030130005235,0.0700970229501621,,0.0,10,4
2014-11-03,2014-10-28,2014-11-03,278,0.725,0.7741903661909806,-0.049190366190980606,0.55,0.3301745741401815,0.8734513274336283,0.04178315407260704,203,478,77,758,2512.55,0.0606713018663223,0.06618821144175055,0.1401226924584065,0.0,,,0.0826980193242547,0.051206410924033025,,0.0,11,4
2014-11-10,2014-11-04,2014-11-10,279,0.8043478260869565,0.7618927746432355,0.04245505144372108,0.3913043478260869,0.2849659316644877,0.5448249326664101,0.12970938713316238,148,484,36,668,2565.73,0.02116574794531445,0.04178315407260704,0.06618821144175055,0.1401226924584065,0.0,,0.07922691754917333,0.045390103632527455,0.07556068902118529,0.05924212336586506,11,4
2014-11-17,2014-11-11,2014-11-17,280,0.8226950354609929,0.7511962916745287,0.07149874378646415,0.35460992907801414,0.479912411906018,0.4688382602146487,0.2549111116525847,116,447,25,588,2567.1,0.0005339610948931206,0.12970938713316238,0.04178315407260704,0.06618821144175055,0.1401226924584065,0.0,0.1421345509527847,0.10710588264661997,0.12654291135170223,0.08291522497029648,11,4
2014-11-24,2014-11-18,2014-11-24,281,0.9130434782608695,0.7711904388892915,0.141853039371578,0.17391304347826086,0.9521430819026697,0.09465178914967295,0.8620210356740984,147,479,14,640,2649.26,0.03200498617116598,0.2549111116525847,0.12970938713316238,0.04178315407260704,0.06618821144175055,0.1401226924584065,0.4155471781532818,0.3916925414694517,0.2709225799948406,0.34059358311698684,11,4
2014-12-01,2014-11-25,2014-12-01,282,0.891156462585034,0.8162715849522048,0.07488487763282925,0.217687074829932,0.5026407505478687,0.18529889832039015,0.4095019732204146,131,473,16,620,2819.81,0.06437646739089398,0.8620210356740984,0.2549111116525847,0.12970938713316238,0.04178315407260704,0.06618821144175055,0.5088113735156992,0.3155033798576631,0.3395853323505734,0.3231606311869082,12,4
2014-12-08,2014-12-02,2014-12-08,283,0.8869047619047619,0.8578107005984632,0.029094061306298657,0.22619047619047616,0.19528456577289802,0.2029077117572692,0.15565982139040735,149,504,19,672,3252.88,0.1535812696600125,0.4095019732204146,0.8620210356740984,0.2549111116525847,0.12970938713316238,0.04178315407260704,0.4757276100949734,0.3578070953679697,0.3623606658141335,0.3001166653650953,12,4
2014-12-15,2014-12-09,2014-12-15,284,0.8562874251497006,0.8784499345529145,-0.02216250940321396,0.28742514970059885,0.14875874425642413,0.329712256902125,0.0997111629537125,143,469,24,636,3217.23,-0.010959518949361868,0.15565982139040735,0.4095019732204146,0.8620210356740984,0.2549111116525847,0.12970938713316238,0.22162431918817813,0.1650941330232818,0.3563610209782435,0.30616915933418637,12,4
2014-12-22,2014-12-16,2014-12-22,285,0.8215962441314554,0.8868480319750915,-0.06525178784363617,0.35680751173708924,0.43798172145155473,0.4733890066060078,0.23064598942201403,175,506,38,719,3394.48,0.055093978360266416,0.0997111629537125,0.15565982139040735,0.4095019732204146,0.8620210356740984,0.2549111116525847,0.1620056579220446,0.06569767443780478,0.3515079965321294,0.30836368233598627,12,4
2014-12-29,2014-12-23,2014-12-29,286,0.8865248226950354,0.863986223442738,0.022538599252297398,0.22695035460992907,0.15128312688202733,0.2044812652984372,0.12034856167888637,125,489,16,630,3455.46,0.01796445994673701,0.23064598942201403,0.0997111629537125,0.15565982139040735,0.4095019732204146,0.8620210356740984,0.15023523801820426,0.07039809842978324,0.203173501733087,0.12564648004072929,12,4
2015-01-07,2014-12-30,2015-01-07,287,0.8682634730538922,0.8628283134702384,0.005435159583653815,0.26347305389221554,0.036481767465391786,0.28011234168830473,0.026262774151732685,145,506,22,673,3643.79,0.054502150220231194,0.12034856167888637,0.23064598942201403,0.0997111629537125,0.15565982139040735,0.4095019732204146,0.12575244175087766,0.10229871021146318,0.1265256619193506,0.07499943738623607,1,1
2015-01-14,2015-01-08,2015-01-14,288,0.8862559241706162,0.8581679912575209,0.028087932913095304,0.2274881516587678,0.18853125126276588,0.20559493352346603,0.14977018119230165,187,423,24,634,3502.42,-0.03879751577341173,0.026262774151732685,0.12034856167888637,0.23064598942201403,0.0997111629537125,0.15565982139040735,0.0987938390076402,0.06451336644872115,0.12534773387972944,0.07447186262075896,1,1
2015-01-21,2015-01-15,2015-01-21,289,0.7788944723618091,0.8656601160127497,-0.08676564365094064,0.44221105527638194,0.5823865862519405,0.6502423622537467,0.20369415666258334,155,393,44,592,3548.88,0.013265113835576603,0.14977018119230165,0.026262774151732685,0.12034856167888637,0.23064598942201403,0.0997111629537125,0.12657570400220586,0.09096131982342488,0.14614433262150361,0.0798477753082607,1,1
2015-01-28,2015-01-22,2015-01-28,290,0.7836538461538461,0.8549846730703383,-0.07133082691649217,0.4326923076923077,0.47878532371117316,0.6305309734513274,0.17689634747735827,163,405,45,613,3525.32,-0.00663871418588402,0.20369415666258334,0.14977018119230165,0.026262774151732685,0.12034856167888637,0.23064598942201403,0.17678689511074772,0.026962154355602532,0.13539440423257249,0.0684288325571569,1,1
2015-02-04,2015-01-29,2015-02-04,291,0.6944444444444444,0.8292669289350408,-0.13482248449059642,0.6111111111111112,0.9049527346142427,1.0,0.0,150,419,66,635,3401.77,-0.03504646386710997,0.17689634747735827,0.20369415666258334,0.14977018119230165,0.026262774151732685,0.12034856167888637,0.1268635013799805,0.11068103555294921,0.1113246918967952,0.09211206837359757,2,1
2015-02-11,2015-02-05,2015-02-11,292,0.83125,0.7858121717826789,0.04543782821732112,0.3375,0.3049868651772614,0.4334070796460177,0.17280339861039085,133,409,27,569,3434.12,0.009509755215667104,0.0,0.17689634747735827,0.20369415666258334,0.14977018119230165,0.026262774151732685,0.11656658202924967,0.1009703624441018,0.14063281678852682,0.08091323001464452,2,1
2015-02-25,2015-02-12,2015-02-25,293,0.7763975155279503,0.7720606907400249,0.0043368247879254085,0.44720496894409933,0.029109547018098942,0.6605837409992853,0.009880253550088553,125,353,36,514,3478.73,0.012990227481858518,0.17280339861039085,0.0,0.17689634747735827,0.20369415666258334,0.14977018119230165,0.060894550720159764,0.09704173086689404,0.11265483126008421,0.09910437195154007,2,1
2015-03-04,2015-02-26,2015-03-04,294,0.8056872037914692,0.7714364515315602,0.034250752259909034,0.3886255924170616,0.22989720177098127,0.5392777754477205,0.10591875021827074,170,355,41,566,3530.82,0.014973855401252845,0.009880253550088553,0.17280339861039085,0.0,0.17689634747735827,0.20369415666258334,0.09620080079291667,0.08189515678512627,0.09309974997122168,0.08534037168396101,3,1
2015-03-11,2015-03-05,2015-03-11,295,0.848314606741573,0.776944790940966,0.07136981580060697,0.3033707865168539,0.47904702410508415,0.3627324251764939,0.30528113527786466,151,356,27,534,3524.65,-0.001747469426365611,0.10591875021827074,0.009880253550088553,0.17280339861039085,0.0,0.17689634747735827,0.14036004634874127,0.15068202411285495,0.11877670753132294,0.1263274078792394,3,1
2015-03-18,2015-03-12,2015-03-18,296,0.8131313131313131,0.8154123315152482,-0.0022810183839350184,0.3737373737373737,0.015310605141617386,0.5084473049074818,0.007525969220859392,161,387,37,585,3846.06,0.09118919609039189,0.30528113527786466,0.10591875021827074,0.009880253550088553,0.17280339861039085,0.0,0.1395752849056649,0.15170400941893908,0.12028190137549484,0.12459128019854562,3,1
2015-03-25,2015-03-19,2015-03-25,297,0.8669527896995708,0.8108826597980765,0.05607012990149429,0.2660944206008584,0.37635278400519423,0.2855406585893882,0.2688887621984013,202,353,31,586,3940.41,0.024531598571005064,0.007525969220859392,0.30528113527786466,0.10591875021827074,0.009880253550088553,0.17280339861039085,0.19389862223237508,0.16242590787033293,0.13949897409309692,0.1410416254149156,3,1
