week,week_start,week_end,week_id,P_t,E_P_t,H1t,H2t,H1t_norm,H2t_norm,H3t,H3t_formula_reference,WeekPositive,WeekNeutral,WeekNegative,NewsCount,close,return,H3t_lag3,fitted_return,residual
2014-11-03,2014-10-28,2014-11-03,278,0.7676056338028169,0.7130307436527127,0.054574890150104194,0.46478873239436624,0.5530512707056104,0.2815526225050787,0.39733823505867966,0.21458893874257565,436,190,132,758,2512.55,0.0606713018663223,0.0,0.017855254451344185,0.04281604741497812
2014-11-10,2014-11-04,2014-11-10,279,0.6399132321041214,0.7266744661902388,-0.08676123408611736,0.720173535791757,0.8792213896782808,1.0,0.0,0.0,295,207,166,668,2565.73,0.02116574794531445,0.3279529042067034,0.0026576602854885417,0.01850808765982591
2014-11-17,2014-11-11,2014-11-17,280,0.6744791666666666,0.7160552899395395,-0.041576123272872856,0.6510416666666667,0.42132430764098455,0.8055185374638048,0.08193976755206854,0.19627521794798866,259,204,125,588,2567.1,0.0005339610948931206,0.024730369852734267,0.01670922976373697,-0.016175268668843848
2014-11-24,2014-11-18,2014-11-24,281,0.7493975903614458,0.6996975031308699,0.04970008723057595,0.5012048192771084,0.5036509706469329,0.3839981939387961,0.31024990754298903,0.28257473639317815,311,225,104,640,2649.26,0.03200498617116598,0.39733823505867966,-0.0005577102321249541,0.03256269640329094
2014-12-01,2014-11-25,2014-12-01,282,0.6839506172839506,0.7078489057337627,-0.023898288449812122,0.6320987654320988,0.24218058448684893,0.752228453116289,0.060005458043507806,0.25499934286249487,277,215,128,620,2819.81,0.06437646739089398,0.0,0.017855254451344185,0.04652121293954979
2014-12-08,2014-12-02,2014-12-08,283,0.734065934065934,0.6869351516040461,0.047130782461887955,0.5318681318681319,0.4776141382640432,0.47026008667188934,0.2530112722082745,0.3395372128447791,334,217,121,672,3252.88,0.1535812696600125,0.08193976755206854,0.014058101514665204,0.1395231681453473
2014-12-15,2014-12-09,2014-12-15,284,0.7198275862068966,0.7104733270944993,0.00935425911239729,0.5603448275862069,0.09479423365565821,0.5503705986765393,0.04262227452750986,0.2852615262251654,334,172,130,636,3217.23,-0.010959518949361868,0.31024990754298903,0.0034780310014162607,-0.014437549950778129
2014-12-22,2014-12-16,2014-12-22,285,0.716796875,0.7218104319795569,-0.005013556979556855,0.56640625,0.05080640658501824,0.567422564882619,0.021977705048078007,0.25013623039616645,367,207,145,719,3394.48,0.055093978360266416,0.060005458043507806,0.015074554578332146,0.040019423781934266
2014-12-29,2014-12-23,2014-12-29,286,0.6973094170403588,0.7136602531391953,-0.016350836098836585,0.6053811659192825,0.1656961774304822,0.6770666226252483,0.05350882619571173,0.25707673841307593,311,184,135,630,3455.46,0.01796445994673701,0.2530112722082745,0.0061305141453865866,0.011833945801350424
2015-01-07,2014-12-30,2015-01-07,287,0.7110655737704918,0.7169999530782973,-0.005934379307805493,0.5778688524590163,0.06013784009466564,0.5996691064402724,0.024075035261849512,0.26137372795805713,347,185,141,673,3643.79,0.054502150220231194,0.04262227452750986,0.015880104902778178,0.038622045317453016
2015-01-14,2015-01-08,2015-01-14,288,0.7395833333333334,0.7112498630044368,0.02833347032889655,0.5208333333333333,0.28712585084087483,0.43921704118505733,0.1610152841868037,0.27260203975375213,355,154,125,634,3502.42,-0.03879751577341173,0.021977705048078007,0.01683679040442406,-0.05563430617783579
2015-01-21,2015-01-15,2015-01-21,289,0.732739420935412,0.7161887997860459,0.016550621149366118,0.534521158129176,0.16772076008670825,0.47772356818807965,0.08759660011886915,0.266146895847037,329,143,120,592,3548.88,0.013265113835576603,0.05350882619571173,0.015375613581016103,-0.0021104997454395
