lag,ssr_ftest_stat,p_value
1,0.052879835265329356,0.819123747125254
2,0.06600609377508623,0.9362176728263722
3,0.45371981922256166,0.7160749072654866
4,0.20343864542300913,0.9349228860982206
5,0.4915102800530843,0.7803008933734338
