feature,importance
H3_lag5,0.09513047738494151
month,0.04619478866584359
H3_lag1,0.03448273843059724
H3_lag2,0.013895090131427423
H3_roll_mean_5,0.012898497180458435
H3_roll_mean_3,0.01184972010923957
H3_lag4,0.00863117708468053
H3_roll_std_5,0.006542726637633223
quarter,0.005547671928070486
H3_lag3,0.005360386515633309
H3_roll_std_3,0.0025031643999682274
