week,week_start,week_end,week_id,P_t,E_P_t,H1t,H2t,H1t_norm,H2t_norm,H3t,H3t_formula_reference,WeekPositive,WeekNeutral,WeekNegative,NewsCount
2014-10-13,2014-09-30,2014-10-13,275,0.6823899371069182,0.6823899371069182,0.0,0.6352201257861636,0.0,0.7610094499914438,0.0,0.35604947339085435,217,138,101,456
2014-10-20,2014-10-14,2014-10-20,276,0.7399103139013453,0.6823899371069182,0.05752037679442712,0.5201793721973094,0.5829002566954813,0.4373773206656305,0.3279529042067034,0.34029989850618797,330,176,116,622
2014-10-27,2014-10-21,2014-10-27,277,0.7167919799498746,0.7111501255041317,0.005641854445742944,0.5664160401002507,0.05717345031336313,0.5674501063485048,0.024730369852734267,0.2827539929334334,286,181,113,580
2014-11-03,2014-10-28,2014-11-03,278,0.7676056338028169,0.7130307436527127,0.054574890150104194,0.46478873239436624,0.5530512707056104,0.2815526225050787,0.39733823505867966,0.21458893874257565,436,190,132,758
2014-11-10,2014-11-04,2014-11-10,279,0.6399132321041214,0.7266744661902388,-0.08676123408611736,0.720173535791757,0.8792213896782808,1.0,0.0,0.0,295,207,166,668
2014-11-17,2014-11-11,2014-11-17,280,0.6744791666666666,0.7160552899395395,-0.041576123272872856,0.6510416666666667,0.42132430764098455,0.8055185374638048,0.08193976755206854,0.19627521794798866,259,204,125,588
2014-11-24,2014-11-18,2014-11-24,281,0.7493975903614458,0.6996975031308699,0.04970008723057595,0.5012048192771084,0.5036509706469329,0.3839981939387961,0.31024990754298903,0.28257473639317815,311,225,104,640
2014-12-01,2014-11-25,2014-12-01,282,0.6839506172839506,0.7078489057337627,-0.023898288449812122,0.6320987654320988,0.24218058448684893,0.752228453116289,0.060005458043507806,0.25499934286249487,277,215,128,620
2014-12-08,2014-12-02,2014-12-08,283,0.734065934065934,0.6869351516040461,0.047130782461887955,0.5318681318681319,0.4776141382640432,0.47026008667188934,0.2530112722082745,0.3395372128447791,334,217,121,672
2014-12-15,2014-12-09,2014-12-15,284,0.7198275862068966,0.7104733270944993,0.00935425911239729,0.5603448275862069,0.09479423365565821,0.5503705986765393,0.04262227452750986,0.2852615262251654,334,172,130,636
2014-12-22,2014-12-16,2014-12-22,285,0.716796875,0.7218104319795569,-0.005013556979556855,0.56640625,0.05080640658501824,0.567422564882619,0.021977705048078007,0.25013623039616645,367,207,145,719
2014-12-29,2014-12-23,2014-12-29,286,0.6973094170403588,0.7136602531391953,-0.016350836098836585,0.6053811659192825,0.1656961774304822,0.6770666226252483,0.05350882619571173,0.25707673841307593,311,184,135,630
2015-01-07,2014-12-30,2015-01-07,287,0.7110655737704918,0.7169999530782973,-0.005934379307805493,0.5778688524590163,0.06013784009466564,0.5996691064402724,0.024075035261849512,0.26137372795805713,347,185,141,673
2015-01-14,2015-01-08,2015-01-14,288,0.7395833333333334,0.7112498630044368,0.02833347032889655,0.5208333333333333,0.28712585084087483,0.43921704118505733,0.1610152841868037,0.27260203975375213,355,154,125,634
2015-01-21,2015-01-15,2015-01-21,289,0.732739420935412,0.7161887997860459,0.016550621149366118,0.534521158129176,0.16772076008670825,0.47772356818807965,0.08759660011886915,0.266146895847037,329,143,120,592
2015-01-28,2015-01-22,2015-01-28,290,0.7421383647798742,0.720174436269899,0.021963928509975195,0.5157232704402516,0.22257815890639546,0.42484143529336327,0.12801773441164813,0.24908725719987135,354,136,123,613
2015-02-04,2015-01-29,2015-02-04,291,0.6977225672877847,0.7313816732047779,-0.03365910591699317,0.6045548654244306,0.34109480105242623,0.6747420777985723,0.1109437862640215,0.19321653878696443,337,152,146,635
2015-02-11,2015-02-05,2015-02-11,292,0.7219626168224299,0.7280459215841011,-0.006083304761671182,0.5560747663551402,0.061647021538261675,0.5383580816732119,0.028458849282055946,0.23421815592062917,309,141,119,569
2015-02-25,2015-02-12,2015-02-25,293,0.7676240208877284,0.7236407424563752,0.04398327843135319,0.46475195822454307,0.44571794756442784,0.28144916957633137,0.3202710013571528,0.19843488279463203,294,131,89,514
