direction,mse,mae,r2,n_test,best_lag
H3→return (forward),0.005302898943435991,0.04502874157312579,-0.07828111105986824,10,1
return→H3 (backward),0.05847300409669145,0.163947713415665,-0.010937441521678082,10,1
