,H1t,H2t,H3t,return
H1t,1.0,-0.74258561359821,0.7021691623635323,0.09385849641177099
H2t,-0.74258561359821,1.0,-0.5434504424928709,-0.042542645393000386
H3t,0.7021691623635323,-0.5434504424928709,1.0,-0.01750208972167345
return,0.09385849641177099,-0.042542645393000386,-0.01750208972167345,1.0
