,forward,backward
mse,0.00611848217296223,0.06313661667908874
mae,0.05354101284922236,0.13639566746433238
r2,-0.27593946543150927,0.02209543047388829
ic,0.25,0.7333333333333334
direction_acc,0.4444444444444444,0.7777777777777778
n_test,9.0,9.0
