signal_date,fwd_date,strategy_ret,benchmark_ret,turnover,cost,n_holdings
2024-12-31,2025-01-27,-0.014565528080702217,-0.029944947419266565,1.0,0.0003,5
2025-01-27,2025-02-28,0.05291085186343536,0.019116313039480026,0.8,0.00023999999999999998,5
2025-02-28,2025-03-31,-0.01943170117414872,-0.000705158267041428,0.8,0.00023999999999999998,5
2025-03-31,2025-04-30,-0.038213069373470465,-0.030029823227687547,1.2,0.00035999999999999997,5
2025-04-30,2025-05-30,0.029997265221795688,0.01847513526136213,1.5999999999999999,0.0004799999999999999,5
2025-05-30,2025-06-30,0.03888447072853363,0.02495859430170433,1.5999999999999999,0.0004799999999999999,5
2025-06-30,2025-07-31,0.044663701103042186,0.035444435047049305,1.2,0.00035999999999999997,5
2025-07-31,2025-08-29,0.10039852639658386,0.10333909347924863,1.2,0.00035999999999999997,5
2025-08-29,2025-09-30,0.08766293790072921,0.03200847472571988,1.5999999999999999,0.0004799999999999999,5
2025-09-30,2025-10-31,-0.0020637021925967725,-5.581062399562242e-06,0.8,0.00023999999999999998,5
2025-10-31,2025-11-28,-0.029119607540430303,-0.024566723977385796,0.8,0.00023999999999999998,5
2025-11-28,2025-12-31,0.01104748081053697,0.022815467363410002,1.5999999999999999,0.0004799999999999999,5
