,factor,ic_mean,ic_std,ir,ic_positive_rate,n_months,abs_ir
0,pb_z,-0.05983532379252276,0.31434771068893863,-0.19034757295157315,0.4782608695652174,23,0.19034757295157315
1,flow_z,0.006223702664796632,0.25225299209375557,0.024672463201084453,0.5652173913043478,23,0.024672463201084453
2,mom_short_z,0.0013323983169705395,0.2420788747478101,0.005503984262809338,0.6521739130434783,23,0.005503984262809338
3,mom_mid_z,0.0011044880785413885,0.3055871048348077,0.0036143150711102335,0.5217391304347826,23,0.0036143150711102335
