,factor,mom_mid_z,pb_z,mom_short_z,flow_z
0,mom_mid_z,1.0,0.01351261904795499,0.5333717222474984,0.17789423982290076
1,pb_z,0.01351261904795499,1.0,0.041408762117718746,0.3547628176646814
2,mom_short_z,0.5333717222474984,0.041408762117718746,1.0,0.1477120805422579
3,flow_z,0.17789423982290076,0.3547628176646814,0.1477120805422579,1.0
