config,annualized_return,max_drawdown,sharpe,excess_cumulative,total_turnover,total_cost,target_return_ok,target_dd_ok
base_no_rc,0.3087539825582264,-0.1627171902278084,1.3451867598206386,0.1196059600620063,14.2,0.004259999999999999,False,False
trig-5%_exp50%,0.20566043069483908,-0.10946606907020262,1.2058035296096008,0.021002650149140045,16.7,0.005009999999999999,False,False
trig-5%_exp40%,0.14584183484324353,-0.09867108039445782,0.9648012087010576,-0.036347216932788085,17.2,0.005159999999999999,True,True
trig-4%_exp50%,0.2040399461691027,-0.10568298650455954,1.247427396745587,0.019450405554437555,17.7,0.005309999999999998,False,False
trig-4%_exp40%,0.14003133884764063,-0.09407762521413165,0.9727587624612812,-0.041923524724624794,18.4,0.005519999999999999,True,True
