date,code,close,volume,amount,name,display_code
2015-01-05,sh.601857,11.89,372688944,4228175376.0,中国石油,601857.SH
2015-01-06,sh.601857,11.69,389234896,4626943488.0,中国石油,601857.SH
2015-01-07,sh.601857,12.39,329258320,3900463760.0,中国石油,601857.SH
2015-01-08,sh.601857,12.21,425734784,5362076672.0,中国石油,601857.SH
2015-01-09,sh.601857,12.07,297197472,3640000032.0,中国石油,601857.SH
2015-01-12,sh.601857,11.62,195602393,2295823424.0,中国石油,601857.SH
2015-01-13,sh.601857,11.64,133755443,1560033200.0,中国石油,601857.SH
2015-01-14,sh.601857,11.31,160847524,1839785376.0,中国石油,601857.SH
2015-01-15,sh.601857,12.29,249404978,2920515888.0,中国石油,601857.SH
2015-01-16,sh.601857,12.6,327446096,4086420832.0,中国石油,601857.SH
2015-01-19,sh.601857,11.44,343042288,4045702864.0,中国石油,601857.SH
2015-01-20,sh.601857,11.83,247500975,2918343552.0,中国石油,601857.SH
2015-01-21,sh.601857,12.69,351314992,4311179008.0,中国石油,601857.SH
2015-01-22,sh.601857,12.63,249139322,3141047856.0,中国石油,601857.SH
2015-01-23,sh.601857,12.82,311384736,4005765120.0,中国石油,601857.SH
2015-01-26,sh.601857,13.09,232707550,2977062368.0,中国石油,601857.SH
2015-01-27,sh.601857,12.61,252416676,3219061088.0,中国石油,601857.SH
2015-01-28,sh.601857,12.25,167160586,2066608064.0,中国石油,601857.SH
2015-01-29,sh.601857,11.98,182113564,2176840176.0,中国石油,601857.SH
2015-01-30,sh.601857,11.64,141374048,1672654880.0,中国石油,601857.SH
2015-02-02,sh.601857,11.22,134274316,1528791360.0,中国石油,601857.SH
2015-02-03,sh.601857,11.69,168884648,1936931488.0,中国石油,601857.SH
2015-02-04,sh.601857,11.41,161537913,1889106416.0,中国石油,601857.SH
2015-02-05,sh.601857,11.15,148438560,1689535312.0,中国石油,601857.SH
2015-02-06,sh.601857,10.89,129164864,1415282880.0,中国石油,601857.SH
2015-02-09,sh.601857,11.03,110660468,1213012928.0,中国石油,601857.SH
2015-02-10,sh.601857,11.23,87253883,970756672.0,中国石油,601857.SH
2015-02-11,sh.601857,11.16,59322742,662547888.0,中国石油,601857.SH
2015-02-12,sh.601857,11.18,78547503,871216272.0,中国石油,601857.SH
2015-02-13,sh.601857,11.18,117198101,1321020992.0,中国石油,601857.SH
2015-02-16,sh.601857,11.07,102752360,1136054256.0,中国石油,601857.SH
2015-02-17,sh.601857,11.08,72968924,810469312.0,中国石油,601857.SH
2015-02-25,sh.601857,11.23,199745237,2269546784.0,中国石油,601857.SH
2015-02-26,sh.601857,11.34,165277605,1836995888.0,中国石油,601857.SH
2015-02-27,sh.601857,11.42,196104827,2237716800.0,中国石油,601857.SH
2015-03-02,sh.601857,11.32,146734546,1657644944.0,中国石油,601857.SH
2015-03-03,sh.601857,10.93,192965281,2130766144.0,中国石油,601857.SH
2015-03-04,sh.601857,10.92,113158533,1235480256.0,中国石油,601857.SH
2015-03-05,sh.601857,10.71,109298752,1174668048.0,中国石油,601857.SH
2015-03-06,sh.601857,10.77,68837346,740680720.0,中国石油,601857.SH
2015-03-09,sh.601857,10.89,119690553,1282135328.0,中国石油,601857.SH
2015-03-10,sh.601857,10.77,72511933,781556640.0,中国石油,601857.SH
2015-03-11,sh.601857,10.75,78045514,843193952.0,中国石油,601857.SH
2015-03-12,sh.601857,11.03,169043739,1852523808.0,中国石油,601857.SH
2015-03-13,sh.601857,11.06,112534243,1247388768.0,中国石油,601857.SH
2015-03-16,sh.601857,11.2,149504394,1667697376.0,中国石油,601857.SH
2015-03-17,sh.601857,11.48,259456088,2926486928.0,中国石油,601857.SH
2015-03-18,sh.601857,11.65,256208025,2955791312.0,中国石油,601857.SH
2015-03-19,sh.601857,11.64,222508597,2594325136.0,中国石油,601857.SH
2015-03-20,sh.601857,11.68,236236351,2745939936.0,中国石油,601857.SH
2015-03-23,sh.601857,11.8,238049360,2793745536.0,中国石油,601857.SH
