date,portfolio_value,action,holding,cash,market_value,cum_return,market_cum_return,peak,drawdown
2023-03-09,998701.696474,buy,招商银行,6.676474000097869,1048847.9266508732,-0.001298303526000022,0.04884792665087323,1000000.0,-0.0012983035260000033
2025-03-14,1265948.1651479998,sell,空仓,1265948.1651479998,1094779.4607385446,0.2659481651479998,0.0947794607385446,1265948.1651479998,0.0
2025-03-17,1264306.5380699998,buy,贵州茅台,1516.4780699999444,1096881.8668600556,0.2643065380699998,0.09688186686005551,1265948.1651479998,-0.001296756947238887
