date,portfolio_value,action,holding,cash,market_value,cum_return,market_cum_return,peak,drawdown
2023-01-04,1000000.0,hold,空仓,1000000.0,1000000.0,0.0,0.0,1000000.0,0.0
2023-01-05,1000000.0,hold,空仓,1000000.0,1010148.7541413261,0.0,0.0101487541413261,1000000.0,0.0
2023-01-06,1000000.0,hold,空仓,1000000.0,1010923.6180094974,0.0,0.010923618009497371,1000000.0,0.0
2023-01-09,1000000.0,hold,空仓,1000000.0,1016829.781972651,0.0,0.01682978197265106,1000000.0,0.0
2023-01-10,1000000.0,hold,空仓,1000000.0,1014724.0462704151,0.0,0.014724046270415014,1000000.0,0.0
2023-01-11,1000000.0,hold,空仓,1000000.0,1012268.6085464446,0.0,0.012268608546444515,1000000.0,0.0
2023-01-12,1000000.0,hold,空仓,1000000.0,1012785.1097564271,0.0,0.012785109756427104,1000000.0,0.0
2023-01-13,1000000.0,hold,空仓,1000000.0,1022983.5514870356,0.0,0.02298355148703557,1000000.0,0.0
2023-01-16,1000000.0,hold,空仓,1000000.0,1033319.8826809427,0.0,0.03331988268094266,1000000.0,0.0
2023-01-17,1000000.0,hold,空仓,1000000.0,1032248.3979914432,0.0,0.03224839799144319,1000000.0,0.0
2023-01-18,1000000.0,hold,空仓,1000000.0,1032300.0064926824,0.0,0.03230000649268239,1000000.0,0.0
2023-01-19,1000000.0,hold,空仓,1000000.0,1037381.9071351762,0.0,0.037381907135176196,1000000.0,0.0
2023-01-20,1000000.0,hold,空仓,1000000.0,1045236.6441873012,0.0,0.04523664418730111,1000000.0,0.0
2023-01-30,1000000.0,hold,空仓,1000000.0,1046678.672793266,0.0,0.046678672793265985,1000000.0,0.0
2023-01-31,1000000.0,hold,空仓,1000000.0,1042308.9822739525,0.0,0.04230898227395241,1000000.0,0.0
2023-02-01,1000000.0,hold,空仓,1000000.0,1051674.1003825048,0.0,0.05167410038250475,1000000.0,0.0
2023-02-02,1000000.0,hold,空仓,1000000.0,1051913.9582555096,0.0,0.05191395825550971,1000000.0,0.0
2023-02-03,1000000.0,hold,空仓,1000000.0,1044785.9021966397,0.0,0.04478590219663969,1000000.0,0.0
2023-02-06,1000000.0,hold,空仓,1000000.0,1036875.5547433655,0.0,0.03687555474336546,1000000.0,0.0
2023-02-07,1000000.0,hold,空仓,1000000.0,1039883.7668981025,0.0,0.03988376689810247,1000000.0,0.0
2023-02-08,1000000.0,hold,空仓,1000000.0,1034765.2728828316,0.0,0.0347652728828316,1000000.0,0.0
2023-02-09,1000000.0,hold,空仓,1000000.0,1047019.5066047995,0.0,0.04701950660479959,1000000.0,0.0
2023-02-10,1000000.0,hold,空仓,1000000.0,1043911.0868763168,0.0,0.04391108687631684,1000000.0,0.0
2023-02-13,1000000.0,hold,空仓,1000000.0,1051430.336655188,0.0,0.051430336655187814,1000000.0,0.0
2023-02-14,1000000.0,hold,空仓,1000000.0,1054350.9552246947,0.0,0.054350955224694575,1000000.0,0.0
2023-02-15,1000000.0,hold,空仓,1000000.0,1050256.0191456014,0.0,0.050256019145601405,1000000.0,0.0
2023-02-16,1000000.0,hold,空仓,1000000.0,1040183.2690873658,0.0,0.0401832690873658,1000000.0,0.0
2023-02-17,1000000.0,hold,空仓,1000000.0,1032177.8044770311,0.0,0.03217780447703111,1000000.0,0.0
2023-02-20,1000000.0,hold,空仓,1000000.0,1053408.3637274962,0.0,0.053408363727496244,1000000.0,0.0
2023-02-21,1000000.0,hold,空仓,1000000.0,1058590.1197765442,0.0,0.05859011977654416,1000000.0,0.0
2023-02-22,1000000.0,hold,空仓,1000000.0,1053667.4947504678,0.0,0.05366749475046784,1000000.0,0.0
2023-02-23,1000000.0,hold,空仓,1000000.0,1052492.3128305008,0.0,0.05249231283050082,1000000.0,0.0
2023-02-24,1000000.0,hold,空仓,1000000.0,1045987.6887472081,0.0,0.045987688747208155,1000000.0,0.0
2023-02-27,1000000.0,hold,空仓,1000000.0,1043066.2057673206,0.0,0.043066205767320564,1000000.0,0.0
2023-02-28,1000000.0,hold,空仓,1000000.0,1049972.172388786,0.0,0.04997217238878604,1000000.0,0.0
2023-03-01,1000000.0,hold,空仓,1000000.0,1060454.7490130034,0.0,0.060454749013003406,1000000.0,0.0
2023-03-02,1000000.0,hold,空仓,1000000.0,1059912.3475068035,0.0,0.05991234750680352,1000000.0,0.0
2023-03-03,1000000.0,hold,空仓,1000000.0,1065591.5557222622,0.0,0.06559155572226216,1000000.0,0.0
2023-03-06,1000000.0,hold,空仓,1000000.0,1063553.2120145103,0.0,0.06355321201451036,1000000.0,0.0
2023-03-07,1000000.0,hold,空仓,1000000.0,1051730.9273612266,0.0,0.05173092736122653,1000000.0,0.0
2023-03-08,1000000.0,hold,空仓,1000000.0,1051138.3580377551,0.0,0.05113835803775513,1000000.0,0.0
2023-03-09,998701.696474,buy,招商银行,6.676474000097869,1048847.9266508732,-0.001298303526000022,0.04884792665087323,1000000.0,-0.0012983035260000033
2023-03-10,983263.7464740002,hold,招商银行,6.676474000097869,1034115.4603830478,-0.016736253525999834,0.0341154603830478,1000000.0,-0.01673625352599984
2023-03-13,983825.126474,hold,招商银行,6.676474000097869,1046479.3781777486,-0.016174873526,0.04647937817774861,1000000.0,-0.01617487352599995
2023-03-14,970632.696474,hold,招商银行,6.676474000097869,1038993.2000997338,-0.029367303526000033,0.03899320009973373,1000000.0,-0.029367303526000005
2023-03-15,979053.3964740002,hold,招商银行,6.676474000097869,1044756.7363500958,-0.020946603525999863,0.044756736350095805,1000000.0,-0.020946603525999818
2023-03-16,972597.5264740001,hold,招商银行,6.676474000097869,1033095.6482251863,-0.027402473525999893,0.03309564822518629,1000000.0,-0.027402473525999928
2023-03-17,964457.5164740001,hold,招商银行,6.676474000097869,1040668.7795844452,-0.03554248352599998,0.04066877958444515,1000000.0,-0.03554248352599994
2023-03-20,957720.956474,hold,招商银行,6.676474000097869,1035662.9790706397,-0.04227904352599998,0.035662979070639755,1000000.0,-0.042279043525999996
2023-03-21,960808.546474,hold,招商银行,6.676474000097869,1042302.9954316873,-0.039191453526000064,0.04230299543168736,1000000.0,-0.03919145352600003
2023-03-22,969509.9364740001,hold,招商银行,6.676474000097869,1045535.5701029776,-0.030490063525999922,0.045535570102977596,1000000.0,-0.030490063525999898
2023-03-23,988035.4764740001,hold,招商银行,6.676474000097869,1052227.2589956627,-0.01196452352599986,0.05222725899566272,1000000.0,-0.01196452352599986
2023-03-24,966422.3464740001,hold,招商银行,6.676474000097869,1045505.5398460529,-0.03357765352599984,0.04550553984605288,1000000.0,-0.03357765352599986
2023-03-27,960247.1664740001,hold,招商银行,6.676474000097869,1040941.2609455164,-0.0397528335259999,0.04094126094551642,1000000.0,-0.03975283352599991
2023-03-28,965580.2764740001,hold,招商银行,6.676474000097869,1039013.5937816751,-0.03441972352599998,0.03901359378167513,1000000.0,-0.03441972352599993
2023-03-29,957720.956474,hold,招商银行,6.676474000097869,1037310.6413015791,-0.04227904352599998,0.03731064130157913,1000000.0,-0.042279043525999996
2023-03-30,964176.8264740001,hold,招商银行,6.676474000097869,1044095.2062873754,-0.03582317352599984,0.0440952062873754,1000000.0,-0.03582317352599988
2023-03-31,961931.3064740002,hold,招商银行,6.676474000097869,1047812.7151821582,-0.03806869352599973,0.04781271518215813,1000000.0,-0.038068693525999786
2023-04-03,964738.206474,hold,招商银行,6.676474000097869,1055347.7484542741,-0.03526179352600001,0.05534774845427415,1000000.0,-0.03526179352599999
2023-04-04,962211.9964740002,hold,招商银行,6.676474000097869,1060521.9809314911,-0.03778800352599987,0.06052198093149119,1000000.0,-0.03778800352599984
2023-04-06,948738.876474,hold,招商银行,6.676474000097869,1060544.4556013856,-0.051261123525999985,0.06054445560138566,1000000.0,-0.05126112352599995
2023-04-07,958282.3364740001,hold,招商银行,6.676474000097869,1065352.4021836417,-0.041717663525999926,0.06535240218364158,1000000.0,-0.04171766352599987
2023-04-10,961089.2364740002,hold,招商银行,6.676474000097869,1061418.4065113282,-0.03891076352599987,0.06141840651132813,1000000.0,-0.03891076352599985
2023-04-11,946774.046474,hold,招商银行,6.676474000097869,1060846.1988545984,-0.053225953526000014,0.06084619885459852,1000000.0,-0.05322595352600003
2023-04-12,947054.7364740002,hold,招商银行,6.676474000097869,1065203.8196437834,-0.05294526352599982,0.06520381964378341,1000000.0,-0.05294526352599985
2023-04-13,954633.366474,hold,招商银行,6.676474000097869,1062380.7834016816,-0.04536663352600001,0.06238078340168163,1000000.0,-0.04536663352599996
2023-04-14,965299.5864740001,hold,招商银行,6.676474000097869,1068716.1751415809,-0.03470041352599984,0.0687161751415808,1000000.0,-0.034700413525999875
2023-04-17,988035.4764740001,hold,招商银行,6.676474000097869,1083909.6282638377,-0.01196452352599986,0.08390962826383763,1000000.0,-0.01196452352599986
2023-04-18,1001508.5964740001,hold,招商银行,6.676474000097869,1086381.7459066326,0.0015085964740000346,0.08638174590663272,1001508.5964740001,0.0
2023-04-19,996456.1764740001,hold,招商银行,6.676474000097869,1078953.2912329193,-0.003543823525999912,0.07895329123291939,1001508.5964740001,-0.005044809418299593
2023-04-20,982140.9864740002,hold,招商银行,6.676474000097869,1077961.6844656235,-0.017859013525999834,0.07796168446562346,1001508.5964740001,-0.019338436103481595
2023-04-21,968387.1764740001,hold,招商银行,6.676474000097869,1056904.167367266,-0.03161282352599992,0.05690416736726611,1001508.5964740001,-0.03307152840885265
2023-04-24,943125.0764740001,hold,招商银行,6.676474000097869,1048629.9991893752,-0.056874923525999876,0.04862999918937527,1001508.5964740001,-0.05829557550035038
2023-04-25,955194.7464740002,hold,招商银行,6.676474000097869,1045255.1809876842,-0.044805253525999844,0.04525518098768422,1001508.5964740001,-0.04624408633441252
2023-04-26,949300.256474,hold,招商银行,6.676474000097869,1045008.3117860372,-0.05069974352599993,0.04500831178603715,1001508.5964740001,-0.052129697322428774
2023-04-27,915898.1464740002,hold,招商银行,6.676474000097869,1051982.4387667694,-0.08410185352599986,0.051982438766769334,1001508.5964740001,-0.08548149292118679
