trade_date,Reversal,Liquidity,MoneyFlow,Value
2020-01-02,-0.11915480823493173,0.0605490848872923,0.0022700229137196134,-0.09919565551589306
2020-01-03,-0.25065482873597267,0.08093626223767539,0.20444579064334553,-0.2721973183302851
2020-01-06,0.2786645525859039,0.07738933471114874,-0.2067329709139106,0.15447532528769758
2020-01-07,0.1187201665252343,0.10878723227339754,-0.007491315761618652,-0.14048116058522225
2020-01-08,0.1819973925875605,-0.07987958008217917,-0.09189316415554694,-0.2627089033351998
2020-01-09,-0.16978223713052662,-0.06541894363012019,-0.22492329769761915,0.005802665208324074
2020-01-10,0.019131106655464605,0.0021623654100370493,0.18930745592431955,-0.30917201951535195
2020-01-13,0.2104466274252185,-0.06957376326133641,-0.2399474458216822,0.18451995632876084
2020-01-14,0.3106036236953441,0.06463112539463048,0.10462912647381407,-0.28588854894413124
2020-01-15,-0.08337192698641453,0.02912742905348676,0.06483870361773099,-0.2006758229660742
2020-01-16,-0.07848318976060693,0.07003818918891064,0.12673719117135887,0.023212302521270285
2020-01-17,0.02958562431081112,-0.038073337718983746,0.12509875853382507,-0.24404741328305612
2020-01-20,-0.2666999559722074,0.1323772197196872,0.14074497385722395,-0.10671099142882011
2020-01-21,0.12394132762616551,-0.21005876170971832,0.08870416285612477,-0.3155057628470836
2020-01-22,0.13935158569932482,0.11842773475054372,0.025124199989036738,0.11864162213228388
2020-01-23,-0.2703837211128404,-0.22722071256658366,0.0459465064691959,0.1883545006367531
2020-02-03,-0.09088648169174585,-0.49285119915239717,-0.07119916210997702,-0.17588306023877495
2020-02-04,0.07075185860095975,0.07679139740408206,-0.09547379318516977,-0.262176680875292
2020-02-05,-0.2147896893432112,0.05190008908225696,0.13390359204990426,-0.3324616038567518
2020-02-06,-0.24807362933635332,0.2520395599667546,-0.007293202619935911,-0.1259021953570288
2020-02-07,0.15382477521825264,0.04778175450923842,-0.07174768505043491,-0.06073044770282809
2020-02-10,0.11535046330388855,-0.044543172380017496,-0.37770324159319035,0.15040486515731494
2020-02-11,0.30990651393601987,0.013872347600428415,0.30752226719438214,-0.31174944105442365
2020-02-12,-0.07093529553716048,0.02387237360248349,0.15594341995812894,-0.007437326290473196
2020-02-13,-0.04068959589279814,0.005832714150952408,0.07447262546641648,0.057378934368445135
2020-02-14,0.012779930180760218,0.038344103539584166,0.06218737583027259,-0.19959515780192041
2020-02-17,-0.22343741934972836,0.22482370004461116,0.0689938080146345,-0.3212542258840194
2020-02-18,0.08263169872443457,0.06942433803959819,-0.17925400808427616,0.16737693394559733
