train_mse,val_mse,fold
0.000864288899329606,0.0008215885308359897,1
0.0008351501935436194,0.0007805192329148875,2
0.0008216752079076334,0.0006980860631072402,3
0.0007821954415143327,0.0005761097910538876,4
0.0007426196163575223,0.00040983920440346074,5
