period,start_date,end_date,trading_days,stock_total_return,market_total_return,excess_total_return,stock_max_drawdown,market_max_drawdown,stock_calmar,market_calmar,stock_final_value,market_final_value
原回测期：2023-2024,2023-01-04,2024-12-31,483,-0.4334841628959276,0.010779286862754311,-0.4442634497586819,-0.6161933998465081,-0.2480391398468823,-0.7034871892556902,0.043458007753971815,566515.8371040723,1010779.2868627543
延长至2025年底,2023-01-04,2025-12-31,726,-0.47411764705882353,0.18931459058645972,-0.6634322376452833,-0.6161933998465081,-0.2480391398468823,-0.7694299341358164,0.7632448278256649,525882.3529411765,1189314.5905864597
延长至最新可得数据,2023-01-04,2026-05-18,812,-0.59289592760181,0.24161023278067661,-0.8345061603824866,-0.654758250191865,-0.2480391398468823,-0.9055188345134599,0.974081078211389,407104.07239819004,1241610.2327806766
