stock,alpha_daily,alpha_annualized,beta,alpha_pvalue,beta_pvalue,r_squared,observations,alpha_significant_10pct
泸州老窖,0.0017560890331052464,0.4390222582763116,1.5704128531442239,0.03373017476561139,1.7434839132063253e-90,0.42970109783638166,727,True
五粮液,0.0007700268256350534,0.19250670640876336,1.486223604888079,0.2223488341493751,3.905714368920606e-123,0.5363754515735524,727,False
贵州茅台,0.0007697832312895094,0.19244580782237733,1.111489542271566,0.1432394039362982,8.78419293493462e-106,0.4824279015868531,727,False
美的集团,0.00010203246874183287,0.025508117185458215,1.1268882749441635,0.8659303501525986,7.611564549281539e-88,0.4200748232006015,727,False
招商银行,8.909731250431784e-05,0.02227432812607946,1.0542705775036332,0.8764664979721133,4.6981272503074894e-86,0.41345453027704215,727,False
中国石油,-7.392760404066818e-05,-0.018481901010167043,0.3528485304685126,0.8977091646297772,1.3981226510471087e-13,0.07273093304295242,727,False
