date,stock_value,market_value,stock_cum_return,market_cum_return
2023-09-12,1054705.8823529412,966004.4495331905,0.05470588235294116,-0.033995550466809576
2023-09-13,1050814.479638009,959851.400007249,0.050814479638009,-0.040148599992751
2023-09-14,1050859.7285067872,959043.8885166631,0.05085972850678733,-0.04095611148333689
2023-09-15,1025339.366515837,952691.09317857,0.025339366515837014,-0.047308906821429964
2023-09-18,1028642.5339366517,957554.8626044989,0.028642533936651615,-0.042445137395501153
2023-09-19,1028914.0271493212,955703.0781584864,0.02891402714932112,-0.04429692184151357
2023-09-20,1027828.0542986427,951898.1721742627,0.027828054298642657,-0.04810182782573735
2023-09-21,998552.0361990951,943358.3708304121,-0.00144796380090495,-0.056641629169587815
2023-09-22,1027149.3212669683,960437.4340811205,0.02714932126696823,-0.03956256591887952
2023-09-25,1019457.0135746608,954187.9280833903,0.019457013574660786,-0.04581207191660963
2023-09-26,1006515.8371040723,948610.9458906935,0.006515837104072331,-0.0513890541093065
2023-09-27,1005022.6244343892,950563.7591791947,0.005022624434389167,-0.04943624082080533
2023-09-28,980316.7420814481,947743.8394561529,-0.019683257918551966,-0.052256160543847074
2023-10-09,972624.4343891402,946513.4093632955,-0.027375565610859742,-0.05348659063670447
2023-10-10,956063.3484162895,939423.3320935701,-0.04393665158371041,-0.060576667906429904
2023-10-11,950814.479638009,942100.5835757824,-0.049185520361990975,-0.05789941642421759
2023-10-12,950135.7466063348,951048.5845982467,-0.04986425339366518,-0.048951415401753295
2023-10-13,928280.5429864253,941037.6615128942,-0.07171945701357463,-0.05896233848710575
2023-10-16,920542.9864253394,931581.2796560304,-0.07945701357466062,-0.06841872034396967
2023-10-17,922352.9411764706,934870.4581877635,-0.0776470588235294,-0.06512954181223651
2023-10-18,924027.1493212669,927466.0175886771,-0.07597285067873305,-0.07253398241132292
2023-10-19,895067.8733031674,907678.3898227043,-0.1049321266968326,-0.09232161017729579
2023-10-20,891402.7149321267,901781.6756181954,-0.10859728506787325,-0.09821832438180456
2023-10-23,894072.3981900453,892445.5368357504,-0.10592760180995475,-0.10755446316424955
2023-10-24,899547.5113122172,895755.7277227228,-0.10045248868778278,-0.10424427227727717
2023-10-25,932352.9411764706,900206.6994118622,-0.0676470588235294,-0.09979330058813785
