trade_window,mode,calibration_start,calibration_end,obs,mu,sigma,raw_upper,raw_lower,trade_upper,trade_lower,adf_stat,p_value,critical_5pct,can_trade,reason,mu_drift_vs_static,abs_mu_drift_vs_static
2018-01-02~2018-06-29,教师指令版,2018-01-02,2018-06-29,119,2.442430509683017,0.049955461751180895,2.5173637023097886,2.3674973170562454,,,-1.721651444844764,0.4199929388472102,-2.8865777180380032,False,ADF未通过，风控空仓,0.19687742501280026,0.19687742501280026
2018-07-02~2018-12-28,教师指令版,2018-07-02,2018-12-28,124,2.6574937349102963,0.07067788417297191,2.7635105611697544,2.551476908650838,,,-2.563060276571895,0.10087479375272668,-2.8853397507076006,False,ADF未通过，风控空仓,0.41194065024007953,0.41194065024007953
2019-01-02~2019-06-28,教师指令版,2019-01-02,2019-06-28,118,2.6199313866573695,0.09593555458678005,2.7638347185375394,2.4760280547771996,,,-0.8921961482275683,0.790531473420101,-2.8865777180380032,False,ADF未通过，风控空仓,0.3743783019871527,0.3743783019871527
2019-07-01~2019-12-31,教师指令版,2019-07-01,2019-12-31,126,2.5646177998967294,0.07690643617551818,2.6799774541600065,2.4492581456334523,,,-0.9606935086881584,0.7673292310631354,-2.88495387648,False,ADF未通过，风控空仓,0.3190647152265127,0.3190647152265127
2020-01-02~2020-06-30,教师指令版,2020-01-02,2020-06-30,117,2.6828745075389677,0.08386753480518232,2.8086758097467412,2.557073205331194,,,-2.0618908194851886,0.2601119001922897,-2.887246327182993,False,ADF未通过，风控空仓,0.437321422868751,0.437321422868751
2020-07-01~2020-12-31,教师指令版,2020-07-01,2020-12-31,126,2.4246469021009784,0.1870222943502648,2.7051803436263757,2.144113460575581,,,-0.813873592999402,0.8150127974604398,-2.88495387648,False,ADF未通过，风控空仓,0.1790938174307617,0.1790938174307617
2021-01-04~2021-06-30,教师指令版,2021-01-04,2021-06-30,118,2.15031701951531,0.06493402323819031,2.2477180543725956,2.0529159846580245,,,-1.9767354996520061,0.2968659961365179,-2.8865777180380032,False,ADF未通过，风控空仓,-0.09523606515490668,0.09523606515490668
2021-07-01~2021-12-31,教师指令版,2021-07-01,2021-12-31,125,2.151840553569077,0.06211619293941148,2.2450148429781946,2.05866626415996,,,-1.3691531009210014,0.5969719482267195,-2.8853397507076006,False,ADF未通过，风控空仓,-0.09371253110113953,0.09371253110113953
2022-01-04~2022-06-30,教师指令版,2022-01-04,2022-06-30,117,2.156274620668073,0.035647557525098995,2.2097459569557216,2.1028032843804247,,,-2.8100260090650506,0.05685583439082984,-2.8867966864160075,False,ADF未通过，风控空仓,-0.08927846400214356,0.08927846400214356
2022-07-01~2022-12-30,教师指令版,2022-07-01,2022-12-30,125,2.1238906620099525,0.02648977163572771,2.163625319463544,2.0841560045563607,,,-1.2555511146222238,0.6492546509493805,-2.8853397507076006,False,ADF未通过，风控空仓,-0.12166242266026428,0.12166242266026428
2023-01-03~2023-06-30,教师指令版,2023-01-03,2023-06-30,118,2.026447275907533,0.04017321606301288,2.086707100002052,1.9661874518130136,,,-1.4709501648631875,0.5478298276142484,-2.8865777180380032,False,ADF未通过，风控空仓,-0.21910580876268382,0.21910580876268382
2023-07-03~2023-12-29,教师指令版,2023-07-03,2023-12-29,124,2.1130241051518106,0.06758996762403569,2.214409056587864,2.011639153715757,,,0.4649524309186087,0.983768011872897,-2.88553750045158,False,ADF未通过，风控空仓,-0.13252897951840614,0.13252897951840614
2024-01-02~2024-06-28,教师指令版,2024-01-02,2024-06-28,117,2.275488600433469,0.06031130566760976,2.3659555589348837,2.185021641932054,,,-1.5634090474330415,0.5019436244955269,-2.887246327182993,False,ADF未通过，风控空仓,0.029935515763252152,0.029935515763252152
2024-07-01~2024-12-31,教师指令版,2024-07-01,2024-12-31,125,2.428277089914457,0.05612008465553562,2.51245721689776,2.3440969629311534,,,-2.0507917054132014,0.2647559474477929,-2.885145235641637,False,ADF未通过，风控空仓,0.18272400524424004,0.18272400524424004
