date,贵州茅台,泸州老窖,log_maotai,log_laojiao,spread,maotai_return,laojiao_return,pair_return_raw_200pct_gross,pair_return,strategy_return,nav,target_position,executed_position,signal,strategy,trade_flag
2018-01-02,703.85,65.78,6.556565265273974,4.186315840760911,2.370249424513063,0.009118410299789215,-0.0033333333333332993,0.012451743633122514,0.006225871816561257,0.0,1.0,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,True
2018-01-03,715.86,66.4,6.573484617115764,4.1956970564823886,2.377787560633376,0.017063294736094248,0.009425357251444222,0.007637937484650026,0.003818968742325013,0.009425357251444222,1.0094253572514442,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-04,737.07,68.75,6.602682867326274,4.230476736546681,2.3722061307795927,0.02962869834883919,0.035391566265060126,-0.005762867916220937,-0.0028814339581104687,0.035391566265060126,1.0451505016722407,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-05,738.36,68.05,6.604431510540399,4.220242729097475,2.3841887814429246,0.0017501729822133605,-0.01018181818181818,0.011931991164031541,0.005965995582015771,-0.01018181818181818,1.0345089692915779,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-08,752.13,68.45,6.622909181349564,4.226103551734458,2.3968056296151055,0.018649439297903525,0.005878030859661987,0.012771408438241538,0.006385704219120769,0.005878030859661987,1.040589844937671,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-09,782.52,70.3,6.662519481193111,4.252771798816619,2.4097476823764916,0.040405249092577034,0.027027027027026973,0.01337822206555006,0.00668911103277503,0.027027027027026973,1.0687138948008512,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-10,785.71,70.93,6.666587767604918,4.261693475213995,2.4048942923909227,0.004076573122731686,0.008961593172119642,-0.004885020049387956,-0.002442510024693978,0.008961593172119642,1.0782912739434478,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-11,774.81,70.14,6.6526178380060825,4.2504932447120325,2.40212459329405,-0.013872802942561657,-0.011137741435217952,-0.0027350615073437057,-0.0013675307536718528,-0.011137741435217952,1.0662815445424139,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-12,788.42,71.02,6.670030942790394,4.262961527514942,2.407069415275452,0.01756559672693947,0.012546335899629169,0.005019260827310301,0.0025096304136551506,0.012546335899629169,1.0796594709638183,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-15,785.37,72.78,6.666154944317361,4.287441192184014,2.378713752133347,-0.003868496486644113,0.024781751619262327,-0.02865024810590644,-0.01432512405295322,0.024781751619262327,1.1064153238066279,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-16,772.94,73.37,6.650201425911212,4.295515132725903,2.354686293185309,-0.0158269350751874,0.008106622698543564,-0.023933557773730962,-0.011966778886865481,0.008106622698543564,1.1153846153846152,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-17,747.93,70.07,6.617309390707625,4.249494742382442,2.367814648325183,-0.03235697466815035,-0.04497751124437799,0.012620536576227637,0.006310268288113818,-0.04497751124437799,1.0652173913043474,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-18,750.74,70.15,6.621059386761408,4.25063580654847,2.370423580212938,0.0037570360862648755,0.0011417154274298014,0.002615320658835074,0.001307660329417537,0.0011417154274298014,1.0664335664335662,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-19,750.18,67.89,6.620313177734963,4.217888748313555,2.4024244294214077,-0.000745930681727458,-0.03221667854597299,0.03147074786424553,0.015735373932122765,-0.03221667854597299,1.0320766190331405,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-22,773.64,70.9,6.651106649110529,4.2612704335380815,2.3898362155724477,0.031272494601295664,0.04433642657239667,-0.013063931971101006,-0.006531965985550503,0.04433642657239667,1.0778352082699907,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-23,773.78,70.52,6.65128759546043,4.25589635752967,2.3953912379307605,0.00018096272167933414,-0.005359661495063617,0.005540624216742951,0.0027703121083714755,-0.005359661495063617,1.0720583764062022,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-24,764.46,68.75,6.639169702221345,4.230476736546681,2.408692965674664,-0.012044767246504051,-0.02509926262053308,0.01305449537402903,0.006527247687014515,-0.02509926262053308,1.0451505016722407,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-25,769.16,68.61,6.645299010282386,4.2284382967028,2.4168607135795863,0.006148130706642441,-0.002036363636363614,0.008184494343006055,0.004092247171503027,-0.002036363636363614,1.043022195196108,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-26,777.22,68.99,6.6557234505741425,4.233961566558017,2.4217618840161252,0.010478964064694063,0.005538551231598854,0.004940412833095209,0.0024702064165476045,0.005538551231598854,1.0487990270598964,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-29,736.32,65.8,6.601664806847001,4.186619838331271,2.41504496851573,-0.05262345281902159,-0.046238585302217694,-0.006384867516803894,-0.003192433758401947,-0.046238585302217694,1.0003040437823043,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-30,742.08,65.09,6.609457054067167,4.175770927584296,2.433686126482871,0.007822685788787531,-0.010790273556230856,0.018612959345018387,0.009306479672509194,-0.010790273556230856,0.9895104895104894,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-01-31,764.54,65.31,6.639274345779321,4.179145163914566,2.4601291818647555,0.030266278568348293,0.003379935473959206,0.026886343094389087,0.013443171547194543,0.003379935473959206,0.9928549711158406,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-01,757.73,63.01,6.630327121660191,4.143293443953964,2.4870336777062265,-0.008907316817955868,-0.03521665901087134,0.026309342192915475,0.013154671096457737,-0.03521665901087134,0.9578899361508055,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-02,740.4,63.4,6.607190580699342,4.14946386144318,2.4577267192561623,-0.022870943475908345,0.006189493731153739,-0.029060437207062084,-0.014530218603531042,0.006189493731153739,0.9638187899057462,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-05,718.23,59.48,6.576789852013997,4.085640121591954,2.491149730422043,-0.029943273905996715,-0.06182965299684551,0.03188637909084879,0.015943189545424397,-0.06182965299684551,0.9042262085740344,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-06,708.86,59.24,6.56365804582112,4.081596989399598,2.4820610564215215,-0.013045960207732854,-0.004034969737726879,-0.009010990470005975,-0.0045054952350029875,-0.004034969737726879,0.9005776831863787,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-07,683.43,55.68,6.527124236873973,4.019621016026164,2.5075032208478083,-0.035874502722681556,-0.06009453072248483,0.024220027999803273,0.012110013999901637,-0.06009453072248483,0.8464578899361506,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-08,700.99,56.45,6.552493621597604,4.033355290595671,2.5191383310019324,0.025693926225070607,0.013829022988505857,0.01186490323656475,0.005932451618282375,0.013829022988505857,0.8581635755548798,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-09,683.43,55.45,6.527124236873973,4.015481713796376,2.5116425230775965,-0.025050286024051793,-0.017714791851195733,-0.007335494172856061,-0.0036677470864280304,-0.017714791851195733,0.8429613864396472,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-12,697.48,58.59,6.547473839449293,4.070564033556697,2.4769098058925962,0.02055806739534427,0.056627592425608775,-0.036069525030264504,-0.018034762515132252,0.056627592425608775,0.8906962602614776,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-13,711.98,58.18,6.568049821129807,4.063541653067055,2.5045081680627517,0.020789126569937588,-0.006997781191329655,0.027786907761267243,0.013893453880633622,-0.006997781191329655,0.8844633627242322,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-14,718.45,59.3,6.577096113675216,4.08260930600368,2.494486807671536,0.009087333913873952,0.01925060158129943,-0.01016326766742548,-0.00508163383371274,0.01925060158129943,0.9014898145332927,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-22,742.45,62.4,6.609955528342071,4.133565275375382,2.476390252966689,0.033405247407613636,0.05227655986509272,-0.018871312457479084,-0.009435656228739542,0.05227655986509272,0.9486166007905137,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-23,742.48,61.86,6.609995934287137,4.124873767256924,2.4851221670302133,4.040676139793753e-05,-0.008653846153846123,0.00869425291524406,0.00434712645762203,-0.008653846153846123,0.9404074186682881,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-26,743.51,61.55,6.611382215708886,4.1198498526304625,2.4915323630784236,0.0013872427540135845,-0.0050113158745555,0.006398558628569084,0.003199279314284542,-0.0050113158745555,0.935694740042566,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
2018-02-27,737.98,60.09,6.603916723962251,4.095843438345836,2.5080732856164145,-0.007437694180306931,-0.023720552396425565,0.016282858216118634,0.008141429108059317,-0.023720552396425565,0.9134995439343265,1,1,长期持有泸州老窖,方案C2：泸州老窖长期持有,False
