trade_window,mode,calibration_start,calibration_end,obs,mu,sigma,raw_upper,raw_lower,trade_upper,trade_lower,adf_stat,p_value,critical_5pct,can_trade,reason,mu_drift_vs_static,abs_mu_drift_vs_static
2018-01-02~2018-06-29,防未来函数版,2015-01-02,2018-01-01,732,2.2455530846702167,0.07333063388968197,2.3555490355047395,2.135557133835694,2.3555490355047395,2.135557133835694,-4.315634373815144,0.00041732055511136773,-2.865507363200066,True,ADF通过，允许交易,0.0,0.0
2018-07-02~2018-12-28,防未来函数版,2015-07-02,2018-07-01,731,2.282233078424588,0.09746442505291023,2.4284297160039534,2.1360364408452224,,,-2.3618403980414007,0.15279750844653295,-2.865507363200066,False,ADF未通过，风控空仓,0.03667999375437114,0.03667999375437114
2019-01-02~2019-06-28,防未来函数版,2016-01-02,2019-01-01,731,2.36190690818172,0.1592207828971774,2.600738082527486,2.123075733835954,,,-0.9996584819818022,0.753388841667598,-2.8655182850048306,False,ADF未通过，风控空仓,0.11635382351150314,0.11635382351150314
2019-07-01~2019-12-31,防未来函数版,2016-07-01,2019-06-30,729,2.413672408449198,0.1833745790865766,2.688734277079063,2.138610539819333,,,-1.2925996512302749,0.632551144671438,-2.8655182850048306,False,ADF未通过，风控空仓,0.1681193237789813,0.1681193237789813
2020-01-02~2020-06-30,防未来函数版,2017-01-02,2020-01-01,731,2.464281768835497,0.17943126410412633,2.7334286649916866,2.195134872679308,,,-1.2272855677671293,0.661749415467322,-2.865507363200066,False,ADF未通过，风控空仓,0.21872868416528046,0.21872868416528046
2020-07-01~2020-12-31,防未来函数版,2017-07-01,2020-06-30,729,2.534235145154458,0.16854288259490516,2.7870494690468157,2.2814208212621003,,,-1.5346200933396665,0.5163210942058192,-2.8655182850048306,False,ADF未通过，风控空仓,0.2886820604842413,0.2886820604842413
2021-01-04~2021-06-30,防未来函数版,2018-01-04,2021-01-03,728,2.5647335030980067,0.14436936685724278,2.781287553383871,2.3481794528121425,,,-0.8523925576921283,0.8032459014167511,-2.865523768488869,False,ADF未通过，风控空仓,0.31918041842779,0.31918041842779
2021-07-01~2021-12-31,防未来函数版,2018-07-01,2021-06-30,729,2.5170949312634066,0.21049114074248176,2.8328316423771294,2.2013582201496837,,,-0.656261820432472,0.857755859986345,-2.8655182850048306,False,ADF未通过，风控空仓,0.2715418465931898,0.2715418465931898
2022-01-04~2022-06-30,防未来函数版,2019-01-04,2022-01-03,728,2.429886718001284,0.23668266758400403,2.78491071937729,2.0748627166252778,,,-1.0243028108106027,0.7442975404021901,-2.865523768488869,False,ADF未通过，风控空仓,0.18433363333106723,0.18433363333106723
2022-07-01~2022-12-30,防未来函数版,2019-07-01,2022-06-30,729,2.356029187861284,0.2358479837870964,2.7098011635419286,2.002257212180639,,,-0.972625675842037,0.7631170836431191,-2.8655182850048306,False,ADF未通过，风控空仓,0.11047610319106704,0.11047610319106704
2023-01-03~2023-06-30,防未来函数版,2020-01-03,2023-01-02,727,2.2796529936904917,0.22515414237485162,2.617384207252769,1.9419217801282143,,,-1.1462298240229083,0.6962885165798675,-2.865534780932388,False,ADF未通过，风控空仓,0.03409990902027493,0.03409990902027493
2023-07-03~2023-12-29,防未来函数版,2020-07-03,2023-07-02,727,2.1729693059320088,0.14942980163063868,2.397114008377967,1.9488246034860508,2.397114008377967,1.9488246034860508,-3.2731792326254303,0.016120767059187344,-2.865534780932388,True,ADF通过，允许交易,-0.07258377873820798,0.07258377873820798
2024-01-02~2024-06-28,防未来函数版,2021-01-02,2024-01-01,727,2.12052779706226,0.06829823015002003,2.22297514228729,2.0180804518372297,,,-2.672531640069844,0.07891329448753498,-2.865534780932388,False,ADF未通过，风控空仓,-0.12502528760795695,0.12502528760795695
2024-07-01~2024-12-31,防未来函数版,2021-07-01,2024-06-30,726,2.1406590446448654,0.08886816180279988,2.2739612873490653,2.0073568019406656,,,-1.6256781794452853,0.46975372468939963,-2.8655403100177566,False,ADF未通过，风控空仓,-0.1048940400253513,0.1048940400253513
