strategy,start,end,trading_days,cumulative_return,annual_return,max_drawdown,annual_volatility,sharpe,trade_count,active_days,cash_days,risk_off_days
方案A：静态中枢无风控,2018-01-02,2024-12-31,1699,0.35407569431179997,0.04601307975084645,-0.18901696653146904,0.12469299611593368,0.4227753458377073,13,1442,257,0
方案B1：半年窗口ADF风控（教师指令版）,2018-01-02,2024-12-31,1699,0.0,0.0,0.0,0.0,0.0,0,0,1699,1699
方案B2：滚动ADF风控（防未来函数）,2018-01-02,2024-12-31,1699,-0.0503406555570447,-0.007636353222301495,-0.09457275841053858,0.034447495441861674,-0.20522111938300674,2,119,1580,1456
方案C1：贵州茅台长期持有,2018-01-02,2024-12-31,1699,1.1652340697591814,0.12148182456363443,-0.5151864667435593,0.30624509296632474,0.5269187093386333,1,1699,0,0
方案C2：泸州老窖长期持有,2018-01-02,2024-12-31,1699,0.9033140772271286,0.100226541961141,-0.6814548234020186,0.4317440005603564,0.4360580632820246,1,1699,0,0
